RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.032376,0.041665,4.7028,7.3119,4080.9,5364.1
0.032566,0.040426,4.7337,6.9663,4101.1,5178.6
0.032309,0.040929,4.7138,7.0149,4087.7,5200.2
0.032657,0.041007,4.752,7.2542,4123.8,5326.8
0.032297,0.041273,4.723,7.2296,4088.1,5297.4
0.032145,0.041243,4.7198,7.2372,4081.7,5324.9
0.032256,0.041708,4.7265,7.346,4094.6,5351.1
0.032544,0.041716,4.7368,7.3962,4106.5,5376.8
0.032394,0.041338,4.7418,7.2524,4094.9,5321.5
0.032518,0.040563,4.7465,7.2449,4111.3,5264.5
0.032302,0.041359,4.7197,7.3383,4092.5,5331.9
0.032556,0.041911,4.7328,7.4216,4108.3,5389.8
0.031987,0.040441,4.6305,6.998,4015.1,5158
0.032223,0.041203,4.6929,7.2357,4072.1,5288.2
0.032274,0.040332,4.7057,7.0871,4072.7,5203.8
0.032594,0.041304,4.771,7.3125,4131,5332
0.032258,0.040029,4.7195,6.9685,4084.5,5139.3
0.032239,0.040833,4.7124,7.1155,4080.5,5245.1
0.032413,0.041397,4.7332,7.1817,4099.9,5289.3
0.032352,0.041119,4.7174,7.2597,4088.6,5334.2
0.032677,0.041662,4.753,7.2918,4128.4,5360.9
0.03274,0.041223,4.7642,7.3042,4130.3,5346.7
0.032529,0.041085,4.7037,7.1858,4088.8,5269.1
0.032693,0.040415,4.7652,7.1484,4134.2,5251.2
0.03236,0.03996,4.7195,6.8296,4094.1,5080.2
0.032468,0.040862,4.7295,7.0219,4108.1,5205.3
0.032494,0.040856,4.7369,7.1728,4106.1,5294.8
0.032309,0.042087,4.7088,7.3044,4085.8,5380.5
0.032285,0.041064,4.6776,7.1403,4062.4,5256.5
0.032593,0.04095,4.7646,7.1503,4126.2,5257.8
0.032419,0.040896,4.7279,7.1314,4105.2,5269.3
0.03243,0.041668,4.7322,7.395,4100.1,5415.9
0.032023,0.040915,4.6784,7.1975,4054,5289.6
0.032456,0.040795,4.707,7.1009,4085.8,5254.3
0.032327,0.040896,4.7172,7.176,4086.4,5265
0.032338,0.041339,4.7141,7.3097,4082.2,5345.6
0.032522,0.041271,4.7306,7.2283,4108.5,5314.5
0.032338,0.041343,4.7156,7.3534,4090.6,5343.6
0.032313,0.040986,4.7272,7.1862,4092.3,5290.6
0.03235,0.041093,4.7145,7.068,4091,5228.3
0.03238,0.041152,4.7267,7.2018,4096.2,5301.8
0.031973,0.04048,4.6565,7.0552,4031.1,5202.5
0.032586,0.041355,4.8012,7.258,4144.3,5328
0.032295,0.04007,4.7161,7.0157,4082.7,5162
0.032168,0.041029,4.6741,7.1358,4055.3,5254.3
0.0321,0.040938,4.676,7.2364,4049.6,5291.7
0.032315,0.041203,4.7497,7.3769,4105.6,5369.9
0.032235,0.040871,4.6918,7.1157,4067.2,5250.5
0.032208,0.041022,4.6861,7.3624,4064,5342.7
0.032372,0.040938,4.7056,7.1336,4087.4,5269.6
0.03244,0.041469,4.7465,7.4574,4106.6,5391.9
0.032377,0.041135,4.7221,7.1499,4090.4,5265.5
0.032341,0.043046,4.7428,7.5352,4106.3,5447.6
0.032113,0.040274,4.7168,6.9244,4076.8,5125.3
0.032579,0.041451,4.7619,7.3754,4125.9,5373.2
0.032182,0.042238,4.6933,7.4829,4071.6,5464.7
0.03206,0.041068,4.694,7.0007,4060.5,5181.2
0.032428,0.041091,4.7359,7.1627,4099.9,5277.4
0.032293,0.040095,4.7049,6.9246,4079,5144.4
0.032222,0.042113,4.7058,7.419,4080.5,5406.4
0.032225,0.042427,4.6686,7.3749,4056.8,5394.6
0.032205,0.041405,4.7033,7.1902,4071.3,5289.1
0.032373,0.040556,4.7134,7.2076,4087.7,5287.3
0.032433,0.040851,4.7448,7.1701,4106,5242.8
0.032377,0.040747,4.701,7.0788,4080.5,5226.1
0.032354,0.041582,4.7233,7.4251,4090.4,5401.2
0.032275,0.040824,4.7315,7.1473,4091.6,5241.3
0.032222,0.041093,4.6713,7.0702,4062.7,5252.4
0.031941,0.041665,4.6425,7.1763,4033.4,5302.7
0.03231,0.040913,4.7274,7.214,4091.4,5286.1
0.032391,0.041184,4.7273,7.1495,4099,5287.1
0.032398,0.040983,4.7388,7.145,4098.2,5260
0.032786,0.040497,4.7819,7.1858,4144.1,5269.2
0.0323,0.04184,4.7149,7.2163,4084.6,5330.9
0.032338,0.04054,4.7093,6.9714,4082.3,5163
0.032287,0.040748,4.7149,7.0265,4081.8,5216.7
0.03275,0.040963,4.7542,7.0944,4129.6,5210.6
0.032595,0.042524,4.7619,7.4198,4120.5,5416.1
0.03209,0.040364,4.6815,7.2155,4050.6,5245.5
0.032356,0.041764,4.7624,7.341,4109.4,5381.2
0.032222,0.041355,4.6916,7.2251,4066.5,5320.9
0.032729,0.040437,4.7749,7.1546,4140.2,5253.7
0.032108,0.040658,4.6669,6.9618,4050.4,5197.2
0.032229,0.040174,4.6923,6.9681,4070.8,5135.9
0.032379,0.041225,4.7162,7.2269,4082.2,5317.4
0.032454,0.041286,4.7607,7.2636,4121,5340
0.032492,0.040477,4.7398,7.0954,4105.6,5230.4
0.032554,0.041132,4.7609,7.3278,4120.9,5334.3
0.032232,0.041509,4.6655,7.2358,4047.4,5317.3
0.032372,0.040769,4.7096,7.0596,4083.4,5213.9
0.032349,0.040696,4.7257,7.1963,4085,5282.2
0.032467,0.040976,4.7212,7.246,4098.2,5287.7
0.032363,0.041095,4.7135,7.2511,4088.7,5302.2
0.032624,0.040478,4.7734,7.1113,4135.8,5232.4
0.032428,0.041667,4.7247,7.3385,4092,5354.8
0.032343,0.040901,4.6747,7.1232,4070.1,5242.4
0.032606,0.041226,4.7505,7.1913,4115.2,5288.4
0.032384,0.042085,4.7378,7.4252,4101,5405
0.032105,0.041327,4.6824,7.2185,4064.2,5311.8
0.032181,0.040742,4.6902,7.111,4064.3,5247.1
0.032318,0.041918,4.7115,7.3762,4086.1,5398.9
0.032638,0.042627,4.765,7.3246,4127.8,5386.6
0.032273,0.040332,4.6964,7.0547,4066.6,5190.5
0.032267,0.041824,4.7167,7.4166,4091.1,5415.7
0.032378,0.040513,4.7095,7.0162,4083.6,5187.6
0.032302,0.041265,4.7364,7.2736,4096.8,5303.1
0.032253,0.04104,4.7437,7.1221,4106.2,5238.2
0.032334,0.040928,4.6885,7.1934,4065.9,5288.4
0.032412,0.040868,4.7278,7.0604,4094.6,5208.4
0.032416,0.040893,4.717,7.1021,4090.9,5254.1
0.032131,0.040568,4.6825,7.1664,4059.2,5237.6
0.03223,0.041426,4.7066,7.2881,4082.2,5352.3
0.032113,0.040545,4.6699,7.0843,4052.1,5201.5
0.032628,0.042106,4.7488,7.3844,4117.1,5400.7
0.032261,0.040998,4.6737,7.0806,4053.5,5239.4
0.032625,0.041792,4.7602,7.3954,4120.3,5412.4
0.032088,0.040698,4.6521,7.0763,4041.1,5216.7
0.032156,0.04076,4.7022,7.0371,4078.5,5203.1
0.032321,0.04148,4.7172,7.2561,4092.2,5336.3
0.032347,0.040901,4.7035,7.2071,4085.1,5286.8
0.03257,0.04256,4.7554,7.6158,4123.5,5500.1
0.03253,0.040924,4.7417,7.157,4105,5275.1
0.03266,0.041682,4.7521,7.2169,4121.5,5310.6
0.032282,0.040252,4.7083,6.961,4077.4,5112.5
0.032378,0.041142,4.7118,7.2251,4087.8,5324.2
0.032458,0.041782,4.766,7.3909,4122.3,5379.6
0.032293,0.041059,4.7221,7.2739,4088.5,5299.7
0.032239,0.041457,4.7039,7.399,4077.2,5374.1
