RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.034621,0.047892,5.2731,8.6407,4496.3,6225
0.034182,0.048009,5.2193,9.0063,4443.4,6352.2
0.033973,0.047795,5.2125,8.8342,4428.2,6262.7
0.034867,0.050021,5.3881,9.1791,4566.2,6478.1
0.034093,0.050859,5.2278,8.9878,4461.3,6414.9
0.034591,0.049265,5.3396,9.2827,4546.1,6579.2
0.034497,0.047802,5.2526,9.0928,4485.7,6361.8
0.034349,0.049103,5.2753,9.23,4493.4,6536.6
0.034699,0.049728,5.3213,9.1831,4541.7,6456.5
0.034405,0.044975,5.2248,8.398,4458.6,5951.8
0.034326,0.047334,5.2948,8.8909,4514.4,6306.8
0.034307,0.047349,5.2667,9.0845,4488,6343
0.033966,0.046875,5.1958,8.6751,4427.2,6196.7
0.03476,0.049389,5.3138,9.0469,4540.2,6435.3
0.034697,0.046732,5.3274,8.7559,4537.5,6238.2
0.034349,0.048631,5.2598,8.9173,4478,6271.5
0.034628,0.048598,5.3326,9.005,4546,6393
0.034166,0.048545,5.2349,9.105,4457.5,6370.8
0.033986,0.047515,5.2271,8.8714,4448.9,6282.1
0.035228,0.048691,5.3982,8.8894,4601.1,6354.6
0.03451,0.048663,5.2454,8.8602,4486.1,6357.8
0.034059,0.046658,5.1947,8.7781,4430.8,6226
0.034703,0.051476,5.3589,9.5207,4552.5,6722.8
0.034836,0.047264,5.3259,8.814,4544.5,6299.5
0.034298,0.048193,5.2733,9.0187,4482.1,6408.4
0.034188,0.048736,5.269,9.0816,4480,6385
0.034068,0.045252,5.1687,8.4709,4417.8,6037
0.034495,0.045593,5.2684,8.3801,4493.5,6033.5
0.034549,0.047196,5.2936,8.6641,4516.5,6228.3
0.034063,0.047076,5.1992,8.6503,4438.1,6141.1
0.034466,0.04608,5.2739,8.5522,4513.4,6110.9
0.034617,0.047403,5.2963,9.068,4511.2,6395.3
0.034429,0.04682,5.2128,8.5116,4471.5,6082.6
0.034243,0.04601,5.2264,8.7329,4464.6,6194.2
0.034759,0.047933,5.304,9.0084,4519.8,6325.1
0.033843,0.046276,5.1391,8.6387,4387.4,6104
0.034244,0.048011,5.2221,9.0731,4453.2,6407.6
0.034476,0.045605,5.3181,8.4866,4521.8,6052.5
0.034475,0.045515,5.2913,8.5204,4506.3,6041.8
0.034298,0.047697,5.2776,8.9947,4491.6,6325.3
0.034148,0.046903,5.1985,8.7421,4444.4,6209.5
0.034355,0.045457,5.3023,8.4633,4507.4,6057.6
