RMSE,MAPE,MAE
0.084263,11.621,10810
0.084381,11.642,10832
0.084496,11.658,10837
0.08435,11.641,10825
0.08458,11.665,10851
0.084922,11.729,10894
0.08455,11.665,10835
0.084667,11.652,10847
0.084428,11.657,10831
0.08435,11.631,10811
0.084186,11.628,10811
0.084766,11.683,10867
0.084546,11.654,10836
0.084461,11.653,10833
0.084512,11.65,10824
0.084683,11.691,10872
0.084709,11.7,10866
0.08446,11.662,10839
0.084666,11.685,10861
0.084516,11.694,10864
0.084328,11.667,10831
0.084572,11.623,10827
0.08468,11.696,10870
0.084792,11.68,10871
0.085137,11.712,10896
0.084521,11.66,10838
0.085001,11.716,10901
0.084743,11.666,10858
0.084824,11.73,10875
0.084656,11.694,10858
0.085221,11.726,10904
0.084864,11.686,10870
0.085066,11.708,10892
0.085042,11.704,10889
0.085181,11.726,10906
