RMSE,MAPE,MAE
0.16056,26.88,21626
0.1605,26.872,21621
0.16054,26.879,21626
0.16049,26.871,21618
0.16051,26.872,21622
0.16046,26.875,21619
0.1605,26.884,21624
0.16046,26.875,21618
0.1605,26.878,21621
0.16051,26.874,21623
0.16051,26.885,21624
0.16049,26.876,21623
0.16051,26.878,21622
0.16051,26.872,21622
0.16048,26.874,21621
0.16052,26.874,21624
0.16047,26.871,21617
0.16046,26.872,21619
0.16053,26.874,21622
0.16051,26.873,21621
0.16046,26.87,21617
0.1605,26.879,21623
0.16046,26.872,21618
0.1605,26.881,21622
0.16049,26.876,21621
0.16053,26.882,21625
0.16053,26.884,21626
0.1605,26.88,21621
0.16051,26.874,21622
0.16049,26.876,21620
0.16048,26.868,21618
0.16053,26.881,21625
0.16048,26.874,21620
0.1605,26.879,21622
0.16051,26.877,21623
