RMSE,MAPE,MAE
0.092092,12.914,11897
0.091703,12.872,11846
0.091923,12.897,11863
0.092089,12.902,11874
0.092054,12.925,11884
0.091914,12.909,11870
0.091985,12.924,11883
0.09175,12.877,11844
0.092128,12.913,11894
0.091864,12.903,11865
0.091886,12.899,11859
0.092178,12.934,11892
0.092078,12.937,11892
0.092046,12.915,11871
0.091885,12.872,11854
0.091932,12.894,11868
0.092671,13.009,11963
0.0924,12.976,11938
0.091989,12.925,11884
0.092062,12.921,11901
0.092212,12.962,11917
0.092357,12.941,11923
0.091959,12.911,11873
0.09237,12.96,11917
0.092272,12.913,11899
0.091997,12.893,11877
0.092102,12.939,11898
0.092504,12.984,11944
0.092309,12.924,11908
0.092435,12.96,11937
0.092111,12.947,11907
0.092202,12.944,11914
0.092444,12.965,11936
0.092445,12.97,11938
0.092622,12.998,11954
