RMSE,MAPE
0.2777,4.0265
0.27958,4.0528
0.27797,4.1579
0.27817,4.0144
0.27935,4.0447
0.2773,4.1434
0.27704,4.2303
0.27807,4.3735
0.2785,4.0762
0.27808,4.0523
0.27955,4.3559
0.27924,4.3277
0.27963,4.2687
0.2779,3.9708
0.27853,4.265
0.27646,4.0426
0.27831,4.1572
0.27784,4.499
0.27811,3.9934
0.27936,4.022
0.27944,3.9527
0.2792,4.1745
0.2774,4.0639
0.27907,4.1327
0.27721,4.0411
0.27983,4.0644
0.27756,4.063
0.27927,4.2716
0.27856,4.0627
0.2791,4.0886
0.27858,3.9008
0.27735,3.9335
0.27675,4.208
0.27842,4.1421
0.27685,4.0368
0.27976,4.08
0.27885,3.9958
0.28065,4.2395
0.27845,4.1539
0.27913,3.9382
0.27975,4.0551
0.2788,3.9698
0.27898,3.9951
0.27997,4.1455
0.27759,4.1965
0.27856,4.0795
0.27937,4.1944
0.27745,4.0836
0.27915,4.1008
0.27889,4.2453
0.27928,4.1114
0.27876,4.1454
0.27951,4.1382
0.27683,3.995
0.27815,3.9113
0.28034,3.973
0.27744,4.069
0.27771,3.9773
0.27858,3.9977
0.27898,4.2668
0.28096,4.1448
0.27872,4.2211
0.28058,4.1836
0.28144,4.0445
0.2787,4.2024
0.27968,4.3249
0.27655,4.2989
0.27678,3.9387
0.27934,4.1485
0.27861,4.1152
0.27935,3.8373
0.27864,4.0784
0.28095,4.1133
0.27925,4.5775
0.27664,3.9283
0.27875,4.2488
0.27961,4.1206
0.27963,4.1617
0.28012,4.0355
0.2788,4.13
0.28023,4.0813
0.27839,4.0433
0.27765,4.0465
0.27988,4.0302
0.27632,3.9399
0.27977,4.1294
0.27859,4.1848
0.28223,4
0.27755,4.0781
0.27784,3.9732
0.27902,4.0906
0.27909,3.8693
0.27878,4.3094
0.27792,4.2321
0.27796,3.8926
0.27894,3.9854
0.27839,3.9944
0.27801,3.9818
0.27915,4.3402
0.27852,4.0375
0.27725,4.07
0.27868,4.1665
0.27914,4.104
0.27857,4.2392
0.27966,3.9498
0.27897,4.173
0.2776,4.0729
0.27831,4.0763
0.2791,4.0919
0.27791,3.9052
0.2783,4.1759
0.27878,4.3343
0.27982,4.0511
0.27801,4.0183
0.27791,4.2385
0.27897,4.3004
0.28,4.0777
0.28026,4.0369
0.27689,4.2515
0.27875,4.1092
0.27751,4.1194
0.27656,3.9323
0.27774,4.001
0.27966,4.3114
0.27886,4.0437
0.28058,4.0617
0.27823,4.0384
0.28048,4.2626
0.27819,4.0863
0.28079,4.0794
0.27895,4.1944
0.2792,4.0056
0.27898,4.3222
0.27943,3.7111
0.27836,3.8259
0.27712,4.0424
0.28014,4.2337
0.27919,3.9143
0.27958,4.1453
0.27927,4.2477
0.27816,4.1471
0.27918,4.1398
0.27999,4.2268
0.28081,4.0361
0.2783,4.1471
0.28111,4.1961
0.27899,4.2809
0.27917,4.093
0.27778,3.9196
0.27839,4.3792
0.27919,4.4864
0.27809,4.0711
0.27828,4.1009
0.27855,4.132
0.27829,4.3095
0.28038,4.2372
0.27763,4.2644
0.27695,4.1732
0.27835,4.348
0.27912,4.0656
0.28058,3.9233
0.27841,4.1965
0.27885,4.0736
0.27908,4.1448
0.27837,4.1231
0.27761,3.9644
0.27827,3.8319
0.28073,4.1177
0.27728,4.2028
0.2784,4.0419
0.27739,4.1715
0.28019,4.1251
0.2781,4.2205
0.27995,4.043
0.27823,3.9909
0.27889,4.0612
0.2806,4.1929
0.27752,4.0372
0.2785,4.1964
0.2791,4.2973
0.27795,4.0457
0.27999,4.1212
0.27656,3.9711
0.27943,3.8511
0.28003,4.2715
0.27672,4.0847
0.27889,3.9404
0.27816,4.1415
0.27803,4.2287
0.28151,4.1581
0.27794,3.9731
0.27946,4.4002
0.2772,3.8713
0.27658,4.0259
0.27958,4.3454
0.28114,3.8987
0.27773,3.6837
0.27802,4.1581
0.28079,4.0576
0.27901,4.1556
0.27787,4.1989
0.28004,4.1839
0.27979,3.8932
0.27877,3.9972
0.27969,3.9513
0.27813,4.1253
0.2791,4.2881
0.2798,4.2276
0.28005,4.3374
0.27966,4.2814
0.27829,4.035
0.27887,4.0387
0.27849,4.0662
0.27934,4.1458
0.27806,4.0645
0.28115,4.3208
0.27783,4.2508
0.27878,4.4378
0.27862,4.251
0.28022,4.2472
0.27695,4.22
0.27896,4.0262
0.2781,4.0203
0.28024,3.9183
0.27667,4.1517
0.27751,4.083
0.27943,4.1882
0.2787,4.1564
0.27732,4.0683
0.27921,4.1128
0.27836,4.2547
0.27916,4.1846
0.27948,4.0528
0.27783,4.1808
0.2788,4.0692
0.27928,4.2439
0.27861,4.2234
0.27996,4.3848
0.27777,4.131
0.27741,4.1589
0.27782,4.1022
0.27901,4.2745
0.27837,4.136
0.27719,3.9189
0.27985,4.2985
0.27903,4.3155
0.27892,4.1352
0.27886,4.1583
0.27733,3.9865
0.28018,4.1535
0.27858,4.0368
0.27947,3.9265
0.27887,4.3325
0.27635,4.0372
0.27981,4.24
0.27851,4.1133
0.27942,3.8527
0.27973,4.1433
0.27855,4.185
0.27691,4.1263
0.28036,3.9062
0.281,4.2078
0.27922,3.8002
0.28078,4.1616
0.27908,4.3842
0.27791,4.1241
0.28003,3.9228
0.27671,4.242
0.27754,3.8524
0.27823,4.1793
0.27877,4.2083
0.27905,4.3202
0.27682,3.9302
0.27897,4.1007
0.27999,4.2402
0.27945,4.1235
0.27767,4.3022
0.27895,4.0535
0.27834,4.1432
0.27965,3.88
0.28004,4.1221
0.27842,4.0121
0.27768,4.2343
0.28038,4.0992
0.28025,4.0656
0.27813,3.8271
0.27838,3.9257
0.27877,4.1303
0.27794,4.283
0.27817,4.1051
0.27833,4.1048
0.27718,4.0856
0.28018,4.0017
0.27955,3.9622
0.27811,3.8723
0.27685,4.0933
0.27849,4.0836
0.28005,4.1125
0.27792,3.9319
0.27886,4.1447
0.27993,4.3707
0.28005,4.0897
0.27838,4.0281
0.27899,4.0056
0.27876,4.0471
0.27903,4.2556
0.27851,3.9269
0.2779,4.0569
0.2781,4.1981
0.27706,3.9449
0.28057,4.0937
0.27823,3.8763
0.27925,4.1116
0.28173,3.9381
0.27693,4.1262
0.279,4.218
0.28007,4.189
0.27962,4.2515
0.27802,4.1548
0.28124,3.9498
0.2785,4.1154
0.27708,3.9897
0.27707,4.2229
0.27814,3.817
0.27786,4.0758
0.27886,4.2365
0.27981,4.0359
0.27747,4.292
0.2796,4.286
0.28015,4.2372
0.27859,4.2662
0.27965,4.2907
0.27854,4.0214
0.27874,4.2
0.27736,4.103
0.27883,3.9757
0.27974,4.1331
0.27953,4.0062
0.27838,4.2696
0.28024,4.2934
0.27792,4.1377
0.27847,4.0153
0.27887,4.1846
0.27905,4.022
0.27708,3.9028
0.27852,4.2146
0.27654,4.0568
0.27797,4.3768
0.2789,4.2519
0.27785,4.2392
0.27889,4.1431
0.27982,4.175
0.27843,4.2566
0.27808,4.0131
0.27814,4.0457
0.27773,4.1951
0.27776,4.1089
0.27842,4.2147
0.2803,3.9676
0.27875,4.1654
0.27733,4.011
0.27807,4.1274
0.27936,4.233
0.27871,4.2354
0.27929,4.1215
0.27709,3.9154
0.28083,4.1592
0.27807,3.899
0.27652,4.1097
0.27836,4.1576
0.27933,4.2698
0.27866,4.0609
0.2774,4.2153
0.27874,4.0193
0.27564,4.1462
0.27931,3.9787
0.27954,4.0519
0.27873,4.1501
0.27845,3.8448
0.2792,4.1144
0.27864,4.162
0.2783,4.2093
0.27912,4.0915
0.27995,3.9546
0.27764,3.9522
0.27996,4.2121
0.27876,4.0282
0.27871,4.3066
0.28001,4.0632
0.27886,4.2196
0.27883,4.1036
0.27824,4.2768
0.27806,3.9043
0.2777,4.1055
0.27891,3.9729
0.27851,3.857
0.2785,4.0473
0.27922,4.1635
0.27828,4.1636
0.27855,4.1857
0.27892,4.2106
0.27876,4.1333
0.27863,4.2069
0.27987,4.0473
0.27656,4.1344
0.27888,4.3922
0.27915,4.2855
0.28065,4.0653
0.27794,4.1582
0.2784,4.3222
0.27909,4.062
0.27854,4.1081
0.27983,4.2368
0.27955,4.3808
0.28016,4.045
0.27891,4.0223
0.27642,3.9189
0.27781,4.0696
