RMSE,MAPE
0.27762,4.1514
0.28096,4.2635
0.27787,4.2522
0.28019,4.065
0.27993,4.1678
0.2785,4.2341
0.27784,4.1328
0.27974,4.1708
0.27927,4.2016
0.28036,4.0729
0.28026,4.1067
0.27891,4.3104
0.2791,3.9622
0.27755,4.1133
0.27634,4.0571
0.27836,4.4214
0.27975,4.3917
0.27843,4.1885
0.27886,4.1945
0.27892,4.0689
0.27859,4.1542
0.2791,4.2121
0.28024,4.1199
0.2762,4.2049
0.27974,4.0179
0.2795,4.1234
0.27822,3.9863
0.27726,3.9727
0.2775,4.0061
0.27712,4.2434
0.27837,4.2125
0.27875,4.4682
0.27971,4.3323
0.28115,4.1194
0.27932,4.1522
0.27709,3.9677
0.27767,3.998
0.2792,4.0844
0.27804,4.0891
0.27605,4.2833
0.2768,4.2221
0.27671,4.1478
0.27645,4.1659
0.27843,4.2938
0.28011,4.0913
0.27668,4.037
0.27893,4.2591
0.27802,3.8841
0.27969,4.1898
0.27984,4.0716
0.2779,4.1579
0.27931,4.2992
0.27849,4.0909
0.278,4.426
0.27945,4.1068
0.27821,4.1413
0.27745,4.0374
0.27827,3.9784
0.27917,3.9338
0.27857,4.3062
0.27661,4.0031
0.27947,4.1072
0.27973,3.9249
0.27968,4.2325
0.27892,4.0647
0.27715,4.1773
0.27677,4.0115
0.28062,4.239
0.28024,4.0223
0.27706,4.2781
0.27723,4.2467
0.2772,4.1634
0.27922,4.1324
0.27728,4.1275
0.2804,4.2108
0.27884,4.2586
0.27676,4.0877
0.27983,4.1274
0.27782,4.3315
0.28009,4.2394
0.27913,4.1465
0.27892,4.0462
0.27973,4.0002
0.27816,4.3152
0.27812,4.2076
0.27864,4.223
0.27725,4.2907
0.27719,3.9637
0.27905,4.3116
0.27893,4.2585
0.28009,4.0409
0.28038,4.0608
0.27693,4.0764
0.27716,4.2743
0.27909,4.1909
0.27839,4.3661
0.27803,4.3353
0.27897,4.1776
0.27692,4.0305
0.28053,4.2804
0.27941,4.1212
0.27909,4.279
0.27898,4.2238
0.27895,3.96
0.27749,4.0192
0.27609,4.0608
0.27935,4.0467
0.28014,4.3768
0.27713,4.0834
0.27851,4.1337
0.27974,4.1265
0.27829,4.279
0.27871,4.1325
0.27542,4.0465
0.27785,4.1963
0.28156,4.2935
0.27789,4.1887
0.27502,4.0266
0.28021,4.0812
0.2772,4.0443
0.27947,4.1176
0.27897,4.1331
0.27988,4.1393
0.28002,3.9929
0.27831,4.3336
0.27882,4.2188
0.2765,4.1341
0.28162,4.1133
0.2775,4.2822
0.27875,4.2174
0.27774,4.0698
0.27927,4.3587
0.27863,4.0094
0.28072,3.9399
0.27933,4.0536
0.27985,4.3429
0.27848,4.0735
0.2782,4.2471
0.27716,4.1633
0.27872,4.2103
0.27588,4.4155
0.27774,4.3198
0.27855,4.2378
0.27929,4.0634
0.27939,4.2635
0.27821,4.2924
0.27843,4.2002
0.27931,4.2383
0.2778,4.2502
0.28091,3.976
0.2777,4.1607
0.27954,4.0614
0.27972,4.0863
0.27737,4.2491
0.27677,4.0411
0.27847,4.2287
0.27827,4.1888
0.27811,3.9857
0.27925,4.045
0.2794,4.2229
0.27756,4.123
0.27673,4.1444
0.2804,4.1459
0.27966,4.1276
0.27592,3.9707
0.2767,4.1484
0.28006,4.1087
0.27942,4.0396
0.27915,4.1089
0.27948,4.0341
0.2799,4.1179
0.27884,4.0137
0.27847,4.1011
0.28072,4.3879
0.27944,4.2101
0.27903,4.1383
0.27948,4.0804
0.27873,4.0554
0.27909,4.0068
0.27839,4.0828
0.28054,4.2706
0.27908,4.316
0.27777,4.1373
0.28099,3.9372
0.27683,4.0532
0.28026,4.0552
0.27837,4.0558
0.27796,4.3686
0.27831,4.0562
0.27737,3.9823
0.27693,3.9421
0.27885,4.0822
0.27903,4.1376
0.27724,4.1266
0.27854,3.9844
0.28002,4.1093
0.27911,4.1727
0.27991,4.2838
0.27828,4.2201
0.27969,4.1236
0.27964,4.1248
0.27763,4.1148
0.2792,4.317
0.27882,4.3069
0.28005,3.9077
0.28246,4.2733
0.27669,4.0578
0.27937,4.2054
0.27807,4.2669
0.28019,4.2946
0.27909,4.1632
0.27799,4.208
0.27948,4.1049
0.28005,4.0645
0.27671,4.4389
0.27996,4.2649
0.27944,4.1689
0.27819,4.0301
0.28163,4.2224
0.27705,4.2045
0.28048,4.1815
0.28109,4.0767
0.27707,4.0977
0.28125,4.2288
0.27957,4.0589
0.27704,4.2741
0.27821,4.2245
0.2787,4.1657
0.27845,4.0608
0.27635,3.9633
0.27757,4.0138
0.27727,4.029
0.27938,4.0791
0.27885,4.0232
0.27882,4.0695
0.27575,4.2365
0.27763,4.1377
0.28063,4.2889
0.27807,4.4301
0.27828,4.2288
0.27847,4.3305
0.28121,3.947
0.27896,4.4241
0.27872,4.0826
0.27699,4.1617
0.2803,4.204
0.27872,4.2883
0.27919,4.2378
0.27889,4.1212
0.27775,4.1301
0.27833,4.122
0.27949,4.08
0.27901,4.0121
0.27816,3.9509
0.27726,4.1709
0.27993,4.2814
0.27849,4.0836
0.27978,4.1083
0.27839,3.8883
0.28063,4.263
0.27956,4.1827
0.27597,3.9643
