RMSE,MAPE
0.28314,3.8888
0.28078,3.9407
0.2837,3.803
0.2839,3.9995
0.28235,3.8949
0.28098,3.9603
0.28359,3.8402
0.2825,3.9918
0.28254,4.0147
0.28306,3.9282
0.28347,3.9204
0.28396,3.9067
0.28076,3.976
0.28313,3.8506
0.28194,3.8829
0.28359,3.9991
0.2813,3.8771
0.28315,4.0037
0.28665,4.0516
0.28264,3.8866
0.2835,3.8655
0.28456,3.8367
0.28306,3.8274
0.28369,4.0013
0.28185,3.9537
0.28404,3.9462
0.28124,3.932
0.28306,3.8147
0.28343,3.7911
0.28345,3.9006
0.2828,3.8897
0.28247,3.8487
0.28424,4.0331
0.28228,3.9066
0.28163,3.8642
0.28423,3.9315
0.28056,3.8935
0.28226,3.7941
0.28287,4.0196
0.28198,3.9239
0.28175,3.8844
0.28366,3.9356
0.2818,3.9691
0.28457,3.8904
0.28177,3.8828
0.28289,3.9931
0.28253,4.0258
0.28231,3.8589
0.28375,3.9604
0.28081,3.9216
0.28425,3.8751
0.2826,4.0216
0.28367,3.9344
0.28233,3.9026
0.28141,3.8763
0.28353,3.8964
0.28443,3.8606
0.28315,3.9109
0.2808,3.8929
0.28014,3.9534
0.2814,3.8854
0.28326,3.8956
0.28298,3.9606
0.28239,3.8392
0.28211,3.7552
0.28403,3.9596
0.28333,3.8894
0.28052,3.8377
0.2818,3.8675
0.28497,3.9907
0.28368,3.9348
0.28269,3.9714
0.2825,3.9517
0.28393,3.9268
0.28448,3.7725
0.28207,3.9075
0.2831,3.8979
0.28269,3.8376
0.28481,3.9417
0.28258,3.9616
0.28344,3.9493
0.28163,3.7952
0.28254,4.0233
0.28335,3.9326
0.28124,3.8194
0.28229,3.8799
0.28273,3.9107
0.28334,3.876
0.2818,3.9047
0.28299,3.8448
0.2824,3.9599
0.282,3.8494
0.27929,3.8585
0.28241,3.8904
0.28466,3.9494
0.28427,3.827
0.28192,3.8746
0.28203,3.9015
0.28189,3.8448
0.28316,3.8832
0.283,3.8792
0.282,3.9892
0.28235,3.9383
0.28436,3.9667
0.28438,3.7955
0.28366,3.9652
0.28191,3.9208
0.28294,3.9163
0.28426,3.9753
0.28223,3.9016
0.2828,4.0022
0.28342,3.8973
0.28319,3.8963
0.28033,3.8892
0.28392,3.9338
0.28203,3.818
0.28128,3.7986
0.28355,3.9097
0.28179,3.992
0.28286,3.9613
0.28315,3.9181
0.28412,3.9476
0.28294,3.8756
0.28141,3.918
0.28352,3.9174
0.28277,3.9594
0.28253,4.0077
0.28081,3.941
0.28126,3.8983
0.27949,3.9392
0.28228,3.8675
0.28319,3.9845
0.27997,3.8417
0.28354,4.0323
0.28058,3.8992
0.28245,3.9285
0.28155,3.9613
0.28285,3.8689
0.28369,3.8899
0.28442,3.9183
0.28212,3.8807
0.28257,3.9381
0.28196,3.9477
0.28254,3.9494
0.28274,3.8649
0.28281,3.8047
0.28064,3.9622
0.28231,3.8411
0.28472,3.9021
0.28231,4.0371
0.28407,3.8573
0.28062,3.8627
0.28104,3.9651
0.28211,3.894
0.28203,3.7896
0.28178,3.7303
0.28374,3.9321
0.28351,3.9789
0.28261,3.9512
0.28276,3.8974
0.28296,3.8256
0.28394,3.9088
0.28169,3.8278
0.28246,3.9435
0.28144,3.8832
0.28321,3.885
0.28115,3.8887
0.28642,4.0629
0.282,3.872
0.28336,3.9559
0.28193,4.1067
0.2831,3.9725
0.28282,3.8071
0.28371,3.9806
0.28186,3.9047
0.28272,3.9254
0.28207,4.0425
0.28216,4.1027
0.28169,3.8985
0.28357,3.8989
0.28164,3.7669
0.28486,3.8422
0.28269,4.0267
0.28314,3.9331
0.2829,3.8099
0.28272,3.8357
0.28159,3.9128
0.28235,3.8464
0.28258,3.8337
0.28213,3.8075
0.28324,3.9044
0.28169,3.9032
0.28492,3.8501
0.28425,3.8497
0.28393,3.9124
0.28421,3.9953
0.28227,3.9111
0.28366,3.7824
0.28348,3.8683
0.2818,4.0025
0.28282,3.9049
0.281,3.892
0.28353,3.893
0.28108,3.8859
0.28179,3.9177
0.28359,3.936
