RMSE,MAPE,MAE
0.05028,9.2866,6555.8
0.049138,9.2167,6504.8
0.049596,9.2472,6516.3
0.051212,9.3388,6578.1
0.0501,9.2853,6548.6
0.050467,9.2595,6545
0.050332,9.2797,6560.5
0.051765,9.3279,6571.9
0.049557,9.2674,6531.6
0.050335,9.3398,6581.7
0.049744,9.2845,6556.9
0.050712,9.367,6591.1
0.04958,9.1514,6467
0.049894,9.3068,6555.5
0.04974,9.3097,6553.4
0.050697,9.4411,6619.6
0.05124,9.3962,6614.4
0.050148,9.2448,6530.3
0.050196,9.3068,6546.2
0.052113,9.4529,6633.6
0.050404,9.2759,6542.9
0.050131,9.3857,6587.3
0.050446,9.411,6613.9
0.049955,9.3091,6560.5
0.050234,9.3112,6564.6
0.050238,9.2705,6533
0.0499,9.3657,6584.4
0.051358,9.2942,6558.4
0.050923,9.3753,6604.1
0.050249,9.3347,6566.1
0.049332,9.2232,6499.7
0.052287,9.3668,6608.9
0.05224,9.458,6629.5
0.049612,9.2699,6540.6
0.049492,9.2673,6515.3
0.052192,9.54,6698.6
0.050712,9.3514,6584.6
0.053275,9.4677,6651.3
0.050291,9.2882,6540
0.050124,9.3725,6584.8
0.049797,9.3246,6552.8
0.050253,9.4144,6599.2
0.04926,9.2166,6494.5
0.050279,9.3677,6586.5
0.050743,9.3468,6589.6
0.051342,9.3722,6614.3
0.051418,9.4625,6642.5
0.051254,9.4003,6589.9
0.050343,9.3862,6589.6
0.049664,9.2384,6502.3
0.050128,9.3138,6565.5
0.049555,9.2006,6488.4
0.050031,9.3369,6553.1
0.0526,9.3831,6594.4
0.0507,9.331,6572.8
0.052079,9.5028,6666.8
0.051073,9.3906,6586.4
0.051587,9.3948,6615.1
0.049963,9.3856,6596.8
0.049456,9.1729,6466.7
0.051239,9.4224,6621.2
0.05115,9.4029,6617.4
0.050602,9.418,6615.8
0.050505,9.3982,6608.2
0.050629,9.3848,6599.5
0.050576,9.3617,6594.1
0.050776,9.3947,6598.6
0.0514,9.4945,6659.3
0.051701,9.4375,6629.3
0.050712,9.4222,6614.7
0.050445,9.3502,6574.6
0.050583,9.3982,6597.6
0.051581,9.3977,6609.3
0.050746,9.4047,6598.7
0.050039,9.1776,6491.9
