RMSE,MAPE,MAE
0.085803,11.951,11062
0.085771,11.985,11086
0.085935,11.996,11084
0.085749,11.978,11069
0.085807,11.986,11056
0.085513,11.962,11048
0.085709,11.923,11043
0.085872,12.01,11084
0.085935,11.993,11100
0.086001,11.947,11080
0.086069,12.013,11112
0.086383,12.019,11109
0.085956,11.993,11096
0.085916,11.934,11039
0.086756,12.029,11128
0.086456,12.055,11146
0.086493,12.031,11129
0.086336,11.989,11108
0.08564,11.95,11062
0.086166,12.03,11111
0.086395,12.041,11127
0.08642,11.98,11117
0.086765,12.085,11159
0.086786,12.049,11161
0.086583,12.029,11121
0.086515,12.065,11154
0.086321,12.018,11112
0.086585,12.038,11140
0.086376,12.014,11121
0.086414,12.058,11147
0.087028,12.14,11208
0.086419,12.079,11141
0.086656,12.093,11168
0.086405,12.015,11132
0.086362,12.036,11131
