RMSE,MAPE,MAE
0.094937,13.11,12167
0.094677,13.105,12152
0.094791,13.105,12148
0.094734,13.119,12171
0.094603,13.059,12137
0.094643,13.102,12140
0.094508,13.082,12139
0.095111,13.121,12183
0.095028,13.139,12204
0.095202,13.135,12195
0.095174,13.152,12201
0.094937,13.104,12169
0.095445,13.189,12238
0.0954,13.175,12234
0.095847,13.227,12253
0.095233,13.15,12224
0.095543,13.198,12247
0.095232,13.149,12202
0.094975,13.118,12198
0.095006,13.151,12186
0.095103,13.139,12208
0.095882,13.24,12292
0.095702,13.238,12269
0.095517,13.205,12241
0.095388,13.155,12232
0.09543,13.198,12240
0.095453,13.202,12249
0.095553,13.161,12238
0.095683,13.193,12241
0.095739,13.178,12271
0.096013,13.235,12294
0.095574,13.193,12247
0.096495,13.294,12366
0.095615,13.186,12256
0.095572,13.205,12244
