RMSE,MAPE,MAE
1.0593,32.223,27533
0.89289,30.595,26187
1.0295,32.087,27328
1.1252,32.378,27938
0.99822,31.322,26940
0.87998,30.799,26368
1.036,31.804,27374
1.1284,32.529,27889
1.1752,32.743,28116
1.2351,33.108,28717
1.1081,32.621,27952
1.2333,33.387,28659
1.1489,32.739,27839
1.1692,33.009,28192
1.1099,32.495,27898
1.2299,33.346,28562
1.1531,32.988,28489
1.1669,32.586,27852
1.5611,35.648,30694
1.3722,33.726,29064
1.4335,35.057,30383
1.2866,33.698,29174
1.303,33.567,29066
1.3423,33.497,29168
1.3238,33.999,29200
1.4361,34.975,29886
1.4199,34.971,30288
1.4021,34.225,29753
1.6422,35.868,31124
1.3764,34.395,29470
1.4161,34.424,29737
1.8477,37.363,32318
1.6271,35.653,30835
1.6948,36.886,31809
1.6585,37.05,32291
