RMSE,MAPE,MAE
0.22579,45.33,32934
0.16573,36.555,24569
0.11678,26.508,17234
0.10698,23.269,15292
0.10345,22.773,14878
0.095733,20.57,13677
0.093029,20.306,13371
0.09164,19.914,13083
0.083136,17.767,11919
0.081032,17.331,11582
0.081636,17.355,11661
0.081039,17.033,11419
0.075371,15.796,10698
0.073844,15.336,10449
0.074862,15.533,10539
0.072482,14.88,10173
0.071344,14.653,10023
0.073066,14.886,10150
0.07035,14.46,9844
0.067335,13.481,9310.6
0.06676,13.537,9342.1
0.067955,13.834,9485
0.06652,13.514,9265.6
0.06494,12.941,8980.8
0.064799,12.965,8986.6
0.065559,12.773,8890.5
0.064794,12.873,8902.3
0.062201,12.481,8637.3
0.062821,12.536,8688.7
0.06399,12.787,8851.8
0.060313,11.933,8319.1
0.062052,12.415,8601.3
0.062848,12.519,8662.7
0.060857,12.011,8388
0.060954,12.03,8393.2
0.059978,11.861,8267.8
0.057414,11.283,7890.1
0.059305,11.658,8152.6
0.061457,11.774,8207.6
0.058794,11.634,8108.2
0.059339,11.646,8133.2
0.056997,10.995,7727.9
0.058864,11.538,8061.2
0.05784,11.145,7818.3
0.055947,10.925,7641.2
0.057527,11.103,7784.4
0.057076,11.182,7816.1
0.055991,10.863,7636.4
0.056496,10.986,7705.3
0.056868,11.161,7779.9
0.057192,11.273,7832.1
0.056639,10.996,7709.6
0.056376,11.117,7733.8
0.055139,10.74,7544.1
0.054753,10.546,7416.9
0.055107,10.66,7479.5
0.054583,10.654,7475.8
0.054388,10.515,7388.5
0.054159,10.645,7414.9
0.053834,10.506,7361.1
0.053059,10.254,7216.2
0.054057,10.334,7274.6
0.054062,10.407,7294.8
0.052815,10.167,7166.6
0.053303,10.21,7208.9
0.052451,10.052,7120.9
0.054028,10.457,7302.9
0.052891,10.109,7125.3
0.053011,10.114,7149.7
0.052177,9.9564,7047.3
0.052472,10.141,7126.3
0.052222,10.036,7066.5
0.05294,10.257,7195.8
0.05162,9.817,6951.1
0.051704,9.9521,7011.1
0.052429,10.046,7064.3
0.051415,9.7799,6930.8
0.051778,9.8328,6952
0.051639,9.9006,7000.3
0.051823,9.8849,6980.6
0.052684,9.9989,7037.6
0.0518,9.9522,7001.5
0.050949,9.7955,6894.3
0.052039,9.9552,7015.8
0.051971,9.78,6914.6
0.051211,9.8077,6931.1
0.050579,9.6907,6842.8
0.051479,9.7834,6912.4
0.050651,9.641,6813.1
0.050281,9.6184,6796.3
0.05062,9.6206,6808.4
0.050431,9.63,6805.8
0.050704,9.6566,6831.8
0.051618,9.7734,6884.9
0.05104,9.6349,6816.8
0.049762,9.5032,6712.7
0.049953,9.4645,6712.3
0.050002,9.4187,6655.7
0.0492,9.3713,6638.2
0.050046,9.5148,6719.5
0.04964,9.4831,6697
0.050138,9.4998,6714.7
0.049371,9.3631,6632.4
0.050144,9.5,6705.8
0.050021,9.4117,6679.6
0.049683,9.3478,6631.7
0.049572,9.3778,6640.9
0.049597,9.3978,6651.2
0.04934,9.3222,6620.9
0.049581,9.413,6664.8
0.049442,9.3632,6637.1
0.05052,9.4357,6677.5
0.048834,9.1884,6521.6
0.050253,9.5191,6723.5
0.048696,9.2433,6546.4
0.04933,9.3238,6609.3
0.048378,9.2148,6519.8
0.04939,9.3568,6626.5
0.049469,9.3351,6586.3
0.049357,9.366,6605.2
0.04885,9.2723,6562.1
0.049061,9.2536,6559.5
0.048984,9.2839,6556.6
0.048779,9.1808,6519.3
0.048705,9.1233,6476.6
0.048622,9.1711,6512.2
0.049008,9.2113,6528.6
0.048554,9.1932,6508.2
0.048671,9.1654,6506.3
0.048633,9.2292,6524.9
0.04883,9.1788,6500
0.048825,9.1195,6496.3
0.048188,9.0278,6419.8
0.048253,9.0967,6461
0.048968,9.1731,6511.1
0.049423,9.1544,6500.4
0.049574,9.1325,6487.7
0.048239,9.0212,6413.9
0.048257,9.0794,6422.2
0.048263,9.0326,6421.4
0.048451,9.0457,6427.1
0.048162,9.0631,6432.3
0.047465,8.9083,6342.2
0.047968,9.0391,6418.7
0.050536,9.0956,6468.7
0.047827,8.9178,6342.8
0.047847,8.9727,6372.4
0.048217,9.0467,6411.1
0.048613,9.1042,6461.4
0.047727,8.9762,6375.8
0.048979,9.0015,6407.3
0.048671,8.9869,6387.1
0.047744,9.0084,6373.5
0.048084,8.9588,6373
0.047596,8.9599,6348.5
0.048144,8.9934,6400.4
0.048542,8.9622,6381
0.047648,8.9389,6337.3
0.047662,8.8899,6338.5
0.048501,9.057,6430.9
0.048012,8.9087,6340.7
0.048431,9.0355,6400.7
0.047735,8.9618,6363
0.048253,9.0565,6409.4
0.04782,8.9665,6371.4
0.048811,9.0757,6413
0.048357,8.9566,6364.6
0.04767,8.9353,6347.1
0.047163,8.8647,6298.7
0.048565,8.9816,6360.2
0.047423,8.8429,6286.5
0.047844,8.9231,6344
0.047991,8.9433,6341.9
0.047401,8.8185,6276.8
0.048003,8.883,6316.7
0.047826,8.9134,6343.4
0.047728,8.9385,6347.2
0.047775,8.9116,6325.2
0.047324,8.9198,6319.2
0.047346,8.8836,6297.7
0.047411,8.868,6301.5
0.047469,8.9216,6317.7
0.048712,9.0522,6401.4
0.047456,8.8709,6293.3
0.048543,8.9477,6360.6
0.047412,8.8504,6274.5
0.04741,8.86,6290.7
0.047184,8.781,6239.8
0.04775,8.9821,6339.3
0.047439,8.8711,6282.7
0.047677,8.8581,6283
0.048685,9.0072,6375.5
0.047577,8.8979,6313.1
0.047637,8.8774,6295.8
0.048151,8.9513,6344.8
0.046795,8.7724,6240.7
0.048507,8.8369,6289.1
0.048059,9.0501,6391.3
0.047892,8.8914,6307.6
0.047547,8.8927,6308.8
0.046756,8.7511,6216.9
0.047701,8.9436,6323.5
0.046973,8.764,6231.7
0.047131,8.7845,6244
0.047539,8.8509,6288.9
0.048037,8.906,6316.4
0.047952,8.8261,6283.9
0.04797,8.9457,6332.3
0.047393,8.8097,6263.8
0.04739,8.8035,6261.8
0.048031,8.9207,6315.6
0.047647,8.8965,6316.6
0.048112,8.8095,6267.1
0.047444,8.858,6271
0.04754,8.8419,6277.1
0.047646,8.8706,6286.9
0.047448,8.8182,6269.2
0.047021,8.7201,6221.5
0.047456,8.8727,6298.9
0.047486,8.8692,6290.1
0.047349,8.7941,6249.3
0.049677,8.8738,6293.7
0.046947,8.7116,6212.3
0.04704,8.7519,6210.1
0.047922,8.8835,6304.7
0.046901,8.7491,6219.5
0.046809,8.7516,6206.4
0.048395,8.9495,6322
0.047444,8.8298,6270.1
0.04732,8.7613,6220
0.048017,8.8119,6250
0.047428,8.7454,6217.9
0.048085,9.0011,6356.9
0.047339,8.7646,6226.2
0.047119,8.7317,6206.8
0.047808,8.9115,6313.4
0.047457,8.8011,6242.9
0.04758,8.8009,6244.8
0.048856,8.8735,6300.6
0.047929,8.8629,6292.4
0.047591,8.8609,6288.6
0.047296,8.7837,6235.7
0.047791,8.7933,6240
0.047832,8.8739,6298.2
0.047941,8.9006,6307.2
0.046968,8.7078,6201.6
0.047593,8.8106,6254.8
0.048379,9.0041,6369.4
0.047708,8.8634,6284.6
0.047278,8.8228,6247.8
0.048002,8.8865,6296.2
0.047923,8.8877,6299.2
0.048203,8.842,6283.6
0.047869,8.8831,6299
0.047673,8.8667,6284
0.048233,8.8834,6292.2
0.047262,8.7358,6207.2
0.047543,8.8369,6268.7
0.047996,8.8353,6264.9
0.047745,8.8245,6269.5
0.051459,8.8947,6311.5
0.047665,8.8267,6255.9
0.048803,8.9398,6342.5
0.047533,8.8671,6279.8
0.04774,8.8312,6255.7
0.048124,8.895,6306.5
0.047572,8.8314,6265.5
0.047895,8.9169,6312.7
0.048451,8.8402,6263.1
0.04739,8.8059,6257.4
0.047901,8.8191,6255.6
0.048184,8.8187,6249.4
0.047738,8.8595,6273.4
0.048309,9.0176,6361.1
0.047969,8.8856,6284.4
0.047507,8.8341,6259.6
0.048451,8.9501,6325.2
0.048239,8.9253,6306.5
0.047887,8.8974,6287.6
0.047219,8.8025,6240.7
0.047935,8.8868,6299.9
0.047445,8.7952,6244.8
0.049437,8.8994,6304.3
0.048155,8.9909,6340.2
0.048579,8.9124,6317.2
0.048368,8.9171,6323.7
0.04733,8.8846,6268.2
0.049186,8.934,6322.1
0.048137,8.9416,6316.8
0.047963,8.8532,6268.8
0.047924,8.8713,6289.6
0.047907,8.9435,6320.9
0.047517,8.8677,6269.8
0.048477,8.8999,6307.6
0.048237,8.9313,6317.5
0.049199,8.9923,6357.7
0.048015,8.8501,6264.9
0.047836,8.7601,6226.7
0.047917,8.8668,6285.3
0.048017,8.8906,6296.6
