Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality,DayTyep_Idx
IDCJAC0010,66062,2012,2,2,20.2,1,Y,4
IDCJAC0010,66062,2012,2,3,21,1,Y,5
IDCJAC0010,66062,2012,2,4,25.9,1,Y,6
IDCJAC0010,66062,2012,2,5,26.8,1,Y,0
IDCJAC0010,66062,2012,2,6,24.8,1,Y,1
IDCJAC0010,66062,2012,2,7,24,1,Y,2
IDCJAC0010,66062,2012,2,8,24.5,1,Y,3
IDCJAC0010,66062,2012,2,9,25.8,1,Y,4
IDCJAC0010,66062,2012,2,10,25.7,1,Y,5
IDCJAC0010,66062,2012,2,11,25.3,1,Y,6
IDCJAC0010,66062,2012,2,12,25.8,1,Y,0
IDCJAC0010,66062,2012,2,13,25.4,1,Y,1
IDCJAC0010,66062,2012,2,14,24.8,1,Y,2
IDCJAC0010,66062,2012,2,15,25.3,1,Y,3
IDCJAC0010,66062,2012,2,16,26.7,1,Y,4
IDCJAC0010,66062,2012,2,17,27.4,1,Y,5
IDCJAC0010,66062,2012,2,18,27.5,1,Y,6
IDCJAC0010,66062,2012,2,19,27.1,1,Y,0
IDCJAC0010,66062,2012,2,20,28.2,1,Y,1
IDCJAC0010,66062,2012,2,21,25.7,1,Y,2
IDCJAC0010,66062,2012,2,22,26.5,1,Y,3
IDCJAC0010,66062,2012,2,23,26.9,1,Y,4
IDCJAC0010,66062,2012,2,24,27.5,1,Y,5
IDCJAC0010,66062,2012,2,25,26.6,1,Y,6
IDCJAC0010,66062,2012,2,26,26.8,1,Y,0
IDCJAC0010,66062,2012,2,27,28,1,Y,1
IDCJAC0010,66062,2012,2,28,33.4,1,Y,2
IDCJAC0010,66062,2012,2,29,22,1,Y,3
IDCJAC0010,66062,2012,3,1,29.5,1,Y,4
IDCJAC0010,66062,2012,3,2,20.9,1,Y,5
IDCJAC0010,66062,2012,3,3,22.6,1,Y,6
IDCJAC0010,66062,2012,3,4,27.3,1,Y,0
IDCJAC0010,66062,2012,3,5,27.4,1,Y,1
IDCJAC0010,66062,2012,3,6,24.7,1,Y,2
IDCJAC0010,66062,2012,3,7,23.3,1,Y,3
IDCJAC0010,66062,2012,3,8,21.2,1,Y,4
IDCJAC0010,66062,2012,3,9,28.4,1,Y,5
IDCJAC0010,66062,2012,3,10,26.5,1,Y,6
IDCJAC0010,66062,2012,3,11,24,1,Y,0
IDCJAC0010,66062,2012,3,12,24,1,Y,1
IDCJAC0010,66062,2012,3,13,25.6,1,Y,2
IDCJAC0010,66062,2012,3,14,25.2,1,Y,3
IDCJAC0010,66062,2012,3,15,26.2,1,Y,4
IDCJAC0010,66062,2012,3,16,28,1,Y,5
IDCJAC0010,66062,2012,3,17,20.2,1,Y,6
IDCJAC0010,66062,2012,3,18,23,1,Y,0
IDCJAC0010,66062,2012,3,19,24.4,1,Y,1
IDCJAC0010,66062,2012,3,20,24.7,1,Y,2
IDCJAC0010,66062,2012,3,21,25.1,1,Y,3
IDCJAC0010,66062,2012,3,22,20,1,Y,4
IDCJAC0010,66062,2012,3,23,26.3,1,Y,5
IDCJAC0010,66062,2012,3,24,25.2,1,Y,6
IDCJAC0010,66062,2012,3,25,23.2,1,Y,0
IDCJAC0010,66062,2012,3,26,23,1,Y,1
IDCJAC0010,66062,2012,3,27,24.6,1,Y,2
IDCJAC0010,66062,2012,3,28,22.5,1,Y,3
IDCJAC0010,66062,2012,3,29,26.5,1,Y,4
IDCJAC0010,66062,2012,3,30,24.8,1,Y,5
IDCJAC0010,66062,2012,3,31,27,1,Y,6
IDCJAC0010,66062,2012,4,1,25.4,1,Y,0
IDCJAC0010,66062,2012,4,2,26.7,1,Y,1
IDCJAC0010,66062,2012,4,3,26.5,1,Y,2
IDCJAC0010,66062,2012,4,4,25.7,1,Y,3
IDCJAC0010,66062,2012,4,5,25.6,1,Y,4
IDCJAC0010,66062,2012,4,6,25.1,1,Y,5
IDCJAC0010,66062,2012,4,7,28.3,1,Y,6
IDCJAC0010,66062,2012,4,8,24.3,1,Y,0
IDCJAC0010,66062,2012,4,9,24.8,1,Y,1
IDCJAC0010,66062,2012,4,10,19.1,1,Y,2
IDCJAC0010,66062,2012,4,11,20.2,1,Y,3
IDCJAC0010,66062,2012,4,12,22.8,1,Y,4
IDCJAC0010,66062,2012,4,13,24.7,1,Y,5
IDCJAC0010,66062,2012,4,14,24.4,1,Y,6
IDCJAC0010,66062,2012,4,15,25.4,1,Y,0
IDCJAC0010,66062,2012,4,16,25.8,1,Y,1
IDCJAC0010,66062,2012,4,17,21.4,1,Y,2
IDCJAC0010,66062,2012,4,18,21.1,1,Y,3
IDCJAC0010,66062,2012,4,19,23.8,1,Y,4
IDCJAC0010,66062,2012,4,20,25.1,1,Y,5
IDCJAC0010,66062,2012,4,21,24.9,1,Y,6
IDCJAC0010,66062,2012,4,22,23.8,1,Y,0
IDCJAC0010,66062,2012,4,23,19.5,1,Y,1
IDCJAC0010,66062,2012,4,24,25.3,1,Y,2
IDCJAC0010,66062,2012,4,25,19.9,1,Y,3
IDCJAC0010,66062,2012,4,26,21.5,1,Y,4
IDCJAC0010,66062,2012,4,27,22.8,1,Y,5
IDCJAC0010,66062,2012,4,28,24.2,1,Y,6
IDCJAC0010,66062,2012,4,29,19.1,1,Y,0
IDCJAC0010,66062,2012,4,30,20.2,1,Y,1
IDCJAC0010,66062,2012,5,1,22.1,1,Y,2
IDCJAC0010,66062,2012,5,2,22.3,1,Y,3
IDCJAC0010,66062,2012,5,3,23.3,1,Y,4
IDCJAC0010,66062,2012,5,4,22.4,1,Y,5
IDCJAC0010,66062,2012,5,5,20.9,1,Y,6
IDCJAC0010,66062,2012,5,6,21.3,1,Y,0
IDCJAC0010,66062,2012,5,7,18.5,1,Y,1
IDCJAC0010,66062,2012,5,8,23.3,1,Y,2
IDCJAC0010,66062,2012,5,9,27.1,1,Y,3
IDCJAC0010,66062,2012,5,10,29.1,1,Y,4
IDCJAC0010,66062,2012,5,11,24.9,1,Y,5
IDCJAC0010,66062,2012,5,12,20.7,1,Y,6
IDCJAC0010,66062,2012,5,13,18.1,1,Y,0
IDCJAC0010,66062,2012,5,14,18.6,1,Y,1
IDCJAC0010,66062,2012,5,15,20.2,1,Y,2
IDCJAC0010,66062,2012,5,16,21.1,1,Y,3
IDCJAC0010,66062,2012,5,17,21.6,1,Y,4
IDCJAC0010,66062,2012,5,18,23.1,1,Y,5
IDCJAC0010,66062,2012,5,19,21.1,1,Y,6
IDCJAC0010,66062,2012,5,20,16.4,1,Y,0
IDCJAC0010,66062,2012,5,21,20.9,1,Y,1
IDCJAC0010,66062,2012,5,22,20.9,1,Y,2
IDCJAC0010,66062,2012,5,23,23,1,Y,3
IDCJAC0010,66062,2012,5,24,17.1,1,Y,4
IDCJAC0010,66062,2012,5,25,18.6,1,Y,5
IDCJAC0010,66062,2012,5,26,17.5,1,Y,6
IDCJAC0010,66062,2012,5,27,19.3,1,Y,0
IDCJAC0010,66062,2012,5,28,18.9,1,Y,1
IDCJAC0010,66062,2012,5,29,18.1,1,Y,2
IDCJAC0010,66062,2012,5,30,18.5,1,Y,3
IDCJAC0010,66062,2012,5,31,20.1,1,Y,4
IDCJAC0010,66062,2012,6,1,18.8,1,Y,5
IDCJAC0010,66062,2012,6,2,16.8,1,Y,6
IDCJAC0010,66062,2012,6,3,15.3,1,Y,0
IDCJAC0010,66062,2012,6,4,20.6,1,Y,1
IDCJAC0010,66062,2012,6,5,16.1,1,Y,2
IDCJAC0010,66062,2012,6,6,16,1,Y,3
IDCJAC0010,66062,2012,6,7,17.7,1,Y,4
IDCJAC0010,66062,2012,6,8,18,1,Y,5
IDCJAC0010,66062,2012,6,9,18.3,1,Y,6
IDCJAC0010,66062,2012,6,10,14.2,1,Y,0
IDCJAC0010,66062,2012,6,11,16.1,1,Y,1
IDCJAC0010,66062,2012,6,12,19.3,1,Y,2
IDCJAC0010,66062,2012,6,13,15.4,1,Y,3
IDCJAC0010,66062,2012,6,14,19.4,1,Y,4
IDCJAC0010,66062,2012,6,15,20.9,1,Y,5
IDCJAC0010,66062,2012,6,16,13.9,1,Y,6
IDCJAC0010,66062,2012,6,17,18.5,1,Y,0
IDCJAC0010,66062,2012,6,18,19.8,1,Y,1
IDCJAC0010,66062,2012,6,19,19.2,1,Y,2
IDCJAC0010,66062,2012,6,20,18.1,1,Y,3
IDCJAC0010,66062,2012,6,21,18.7,1,Y,4
IDCJAC0010,66062,2012,6,22,17.2,1,Y,5
IDCJAC0010,66062,2012,6,23,17,1,Y,6
IDCJAC0010,66062,2012,6,24,18.3,1,Y,0
IDCJAC0010,66062,2012,6,25,19.4,1,Y,1
IDCJAC0010,66062,2012,6,26,13.7,1,Y,2
IDCJAC0010,66062,2012,6,27,17.6,1,Y,3
IDCJAC0010,66062,2012,6,28,18.5,1,Y,4
IDCJAC0010,66062,2012,6,29,19,1,Y,5
IDCJAC0010,66062,2012,6,30,20,1,Y,6
IDCJAC0010,66062,2012,7,1,16.1,1,Y,0
IDCJAC0010,66062,2012,7,2,16.8,1,Y,1
IDCJAC0010,66062,2012,7,3,16.8,1,Y,2
IDCJAC0010,66062,2012,7,4,16.2,1,Y,3
IDCJAC0010,66062,2012,7,5,14.9,1,Y,4
IDCJAC0010,66062,2012,7,6,16,1,Y,5
IDCJAC0010,66062,2012,7,7,15.1,1,Y,6
IDCJAC0010,66062,2012,7,8,18,1,Y,0
IDCJAC0010,66062,2012,7,9,17,1,Y,1
IDCJAC0010,66062,2012,7,10,18,1,Y,2
IDCJAC0010,66062,2012,7,11,20.6,1,Y,3
IDCJAC0010,66062,2012,7,12,17.3,1,Y,4
IDCJAC0010,66062,2012,7,13,22.9,1,Y,5
IDCJAC0010,66062,2012,7,14,20.2,1,Y,6
IDCJAC0010,66062,2012,7,15,18.2,1,Y,0
IDCJAC0010,66062,2012,7,16,20.3,1,Y,1
IDCJAC0010,66062,2012,7,17,21,1,Y,2
IDCJAC0010,66062,2012,7,18,20.7,1,Y,3
IDCJAC0010,66062,2012,7,19,15.4,1,Y,4
IDCJAC0010,66062,2012,7,20,17.3,1,Y,5
IDCJAC0010,66062,2012,7,21,14.9,1,Y,6
IDCJAC0010,66062,2012,7,22,16.9,1,Y,0
IDCJAC0010,66062,2012,7,23,18.3,1,Y,1
IDCJAC0010,66062,2012,7,24,14,1,Y,2
IDCJAC0010,66062,2012,7,25,19.6,1,Y,3
IDCJAC0010,66062,2012,7,26,19.5,1,Y,4
IDCJAC0010,66062,2012,7,27,17.4,1,Y,5
IDCJAC0010,66062,2012,7,28,19.4,1,Y,6
IDCJAC0010,66062,2012,7,29,16.2,1,Y,0
IDCJAC0010,66062,2012,7,30,15.9,1,Y,1
IDCJAC0010,66062,2012,7,31,16.1,1,Y,2
IDCJAC0010,66062,2012,8,1,16.2,1,Y,3
IDCJAC0010,66062,2012,8,2,17.4,1,Y,4
IDCJAC0010,66062,2012,8,3,18.5,1,Y,5
IDCJAC0010,66062,2012,8,4,20.8,1,Y,6
IDCJAC0010,66062,2012,8,5,21.6,1,Y,0
IDCJAC0010,66062,2012,8,6,19.4,1,Y,1
IDCJAC0010,66062,2012,8,7,18.6,1,Y,2
IDCJAC0010,66062,2012,8,8,22.5,1,Y,3
IDCJAC0010,66062,2012,8,9,19.8,1,Y,4
IDCJAC0010,66062,2012,8,10,14.9,1,Y,5
IDCJAC0010,66062,2012,8,11,15.6,1,Y,6
IDCJAC0010,66062,2012,8,12,15.1,1,Y,0
IDCJAC0010,66062,2012,8,13,18.8,1,Y,1
IDCJAC0010,66062,2012,8,14,18.6,1,Y,2
IDCJAC0010,66062,2012,8,15,22.2,1,Y,3
IDCJAC0010,66062,2012,8,16,20.6,1,Y,4
IDCJAC0010,66062,2012,8,17,22.2,1,Y,5
IDCJAC0010,66062,2012,8,18,18.1,1,Y,6
IDCJAC0010,66062,2012,8,19,20.1,1,Y,0
IDCJAC0010,66062,2012,8,20,17.8,1,Y,1
IDCJAC0010,66062,2012,8,21,22.2,1,Y,2
IDCJAC0010,66062,2012,8,22,24.7,1,Y,3
IDCJAC0010,66062,2012,8,23,29.2,1,Y,4
IDCJAC0010,66062,2012,8,24,19.3,1,Y,5
IDCJAC0010,66062,2012,8,25,20.7,1,Y,6
IDCJAC0010,66062,2012,8,26,20.9,1,Y,0
IDCJAC0010,66062,2012,8,27,19.5,1,Y,1
IDCJAC0010,66062,2012,8,28,18.5,1,Y,2
IDCJAC0010,66062,2012,8,29,22.5,1,Y,3
IDCJAC0010,66062,2012,8,30,22.1,1,Y,4
IDCJAC0010,66062,2012,8,31,18.4,1,Y,5
IDCJAC0010,66062,2012,9,1,17.6,1,Y,6
IDCJAC0010,66062,2012,9,2,20.7,1,Y,0
IDCJAC0010,66062,2012,9,3,22.8,1,Y,1
IDCJAC0010,66062,2012,9,4,24.4,1,Y,2
IDCJAC0010,66062,2012,9,5,28.3,1,Y,3
IDCJAC0010,66062,2012,9,6,27.9,1,Y,4
IDCJAC0010,66062,2012,9,7,21.7,1,Y,5
IDCJAC0010,66062,2012,9,8,21,1,Y,6
IDCJAC0010,66062,2012,9,9,21.7,1,Y,0
IDCJAC0010,66062,2012,9,10,21.2,1,Y,1
IDCJAC0010,66062,2012,9,11,21.8,1,Y,2
IDCJAC0010,66062,2012,9,12,21.3,1,Y,3
IDCJAC0010,66062,2012,9,13,24.7,1,Y,4
IDCJAC0010,66062,2012,9,14,18.5,1,Y,5
IDCJAC0010,66062,2012,9,15,20.1,1,Y,6
IDCJAC0010,66062,2012,9,16,21,1,Y,0
IDCJAC0010,66062,2012,9,17,20.9,1,Y,1
IDCJAC0010,66062,2012,9,18,20.6,1,Y,2
IDCJAC0010,66062,2012,9,19,22.9,1,Y,3
IDCJAC0010,66062,2012,9,20,20.5,1,Y,4
IDCJAC0010,66062,2012,9,21,22.2,1,Y,5
IDCJAC0010,66062,2012,9,22,22.7,1,Y,6
IDCJAC0010,66062,2012,9,23,23.8,1,Y,0
IDCJAC0010,66062,2012,9,24,24.4,1,Y,1
IDCJAC0010,66062,2012,9,25,19.1,1,Y,2
IDCJAC0010,66062,2012,9,26,20.7,1,Y,3
IDCJAC0010,66062,2012,9,27,22.8,1,Y,4
IDCJAC0010,66062,2012,9,28,33.2,1,Y,5
IDCJAC0010,66062,2012,9,29,22.8,1,Y,6
IDCJAC0010,66062,2012,9,30,22.4,1,Y,0
IDCJAC0010,66062,2012,10,1,19.9,1,Y,1
IDCJAC0010,66062,2012,10,2,20.3,1,Y,2
IDCJAC0010,66062,2012,10,3,27.8,1,Y,3
IDCJAC0010,66062,2012,10,4,32.2,1,Y,4
IDCJAC0010,66062,2012,10,5,34.2,1,Y,5
IDCJAC0010,66062,2012,10,6,18.3,1,Y,6
IDCJAC0010,66062,2012,10,7,20.6,1,Y,0
IDCJAC0010,66062,2012,10,8,18.2,1,Y,1
IDCJAC0010,66062,2012,10,9,19.6,1,Y,2
IDCJAC0010,66062,2012,10,10,25.7,1,Y,3
IDCJAC0010,66062,2012,10,11,19,1,Y,4
IDCJAC0010,66062,2012,10,12,16,1,Y,5
IDCJAC0010,66062,2012,10,13,20.1,1,Y,6
IDCJAC0010,66062,2012,10,14,19.5,1,Y,0
IDCJAC0010,66062,2012,10,15,23.9,1,Y,1
IDCJAC0010,66062,2012,10,16,34.1,1,Y,2
IDCJAC0010,66062,2012,10,17,21.8,1,Y,3
IDCJAC0010,66062,2012,10,18,21.5,1,Y,4
IDCJAC0010,66062,2012,10,19,25.6,1,Y,5
IDCJAC0010,66062,2012,10,20,33.8,1,Y,6
IDCJAC0010,66062,2012,10,21,27.4,1,Y,0
IDCJAC0010,66062,2012,10,22,18.7,1,Y,1
IDCJAC0010,66062,2012,10,23,19.5,1,Y,2
IDCJAC0010,66062,2012,10,24,23,1,Y,3
IDCJAC0010,66062,2012,10,25,25.6,1,Y,4
IDCJAC0010,66062,2012,10,26,21.2,1,Y,5
IDCJAC0010,66062,2012,10,27,21.3,1,Y,6
IDCJAC0010,66062,2012,10,28,19.8,1,Y,0
IDCJAC0010,66062,2012,10,29,21.7,1,Y,1
IDCJAC0010,66062,2012,10,30,23.1,1,Y,2
IDCJAC0010,66062,2012,10,31,27.8,1,Y,3
IDCJAC0010,66062,2012,11,1,33.3,1,Y,4
IDCJAC0010,66062,2012,11,2,21.9,1,Y,5
IDCJAC0010,66062,2012,11,3,18.5,1,Y,6
IDCJAC0010,66062,2012,11,4,22.9,1,Y,0
IDCJAC0010,66062,2012,11,5,25.1,1,Y,1
IDCJAC0010,66062,2012,11,6,25.4,1,Y,2
IDCJAC0010,66062,2012,11,7,24.2,1,Y,3
IDCJAC0010,66062,2012,11,8,27.3,1,Y,4
IDCJAC0010,66062,2012,11,9,27.1,1,Y,5
IDCJAC0010,66062,2012,11,10,20.9,1,Y,6
IDCJAC0010,66062,2012,11,11,21.4,1,Y,0
IDCJAC0010,66062,2012,11,12,23.7,1,Y,1
IDCJAC0010,66062,2012,11,13,23.9,1,Y,2
IDCJAC0010,66062,2012,11,14,20.7,1,Y,3
IDCJAC0010,66062,2012,11,15,24.7,1,Y,4
IDCJAC0010,66062,2012,11,16,18,1,Y,5
IDCJAC0010,66062,2012,11,17,21.3,1,Y,6
IDCJAC0010,66062,2012,11,18,23.1,1,Y,0
IDCJAC0010,66062,2012,11,19,21.1,1,Y,1
IDCJAC0010,66062,2012,11,20,23.2,1,Y,2
IDCJAC0010,66062,2012,11,21,24.5,1,Y,3
IDCJAC0010,66062,2012,11,22,20.7,1,Y,4
IDCJAC0010,66062,2012,11,23,22,1,Y,5
IDCJAC0010,66062,2012,11,24,25.4,1,Y,6
IDCJAC0010,66062,2012,11,25,31,1,Y,0
IDCJAC0010,66062,2012,11,26,27.2,1,Y,1
IDCJAC0010,66062,2012,11,27,24.1,1,Y,2
IDCJAC0010,66062,2012,11,28,24.5,1,Y,3
IDCJAC0010,66062,2012,11,29,27,1,Y,4
IDCJAC0010,66062,2012,11,30,29.5,1,Y,5
IDCJAC0010,66062,2012,12,1,31.1,1,Y,6
IDCJAC0010,66062,2012,12,2,24.2,1,Y,0
IDCJAC0010,66062,2012,12,3,22.4,1,Y,1
IDCJAC0010,66062,2012,12,4,30.8,1,Y,2
IDCJAC0010,66062,2012,12,5,26.3,1,Y,3
IDCJAC0010,66062,2012,12,6,22.8,1,Y,4
IDCJAC0010,66062,2012,12,7,21.9,1,Y,5
IDCJAC0010,66062,2012,12,8,26.2,1,Y,6
IDCJAC0010,66062,2012,12,9,27.1,1,Y,0
IDCJAC0010,66062,2012,12,10,21.7,1,Y,1
IDCJAC0010,66062,2012,12,11,21.5,1,Y,2
IDCJAC0010,66062,2012,12,12,25.2,1,Y,3
IDCJAC0010,66062,2012,12,13,26,1,Y,4
IDCJAC0010,66062,2012,12,14,26,1,Y,5
IDCJAC0010,66062,2012,12,15,27.3,1,Y,6
IDCJAC0010,66062,2012,12,16,30.3,1,Y,0
IDCJAC0010,66062,2012,12,17,22.7,1,Y,1
IDCJAC0010,66062,2012,12,18,26.4,1,Y,2
IDCJAC0010,66062,2012,12,19,31.5,1,Y,3
IDCJAC0010,66062,2012,12,20,33,1,Y,4
IDCJAC0010,66062,2012,12,21,24.6,1,Y,5
IDCJAC0010,66062,2012,12,22,26.3,1,Y,6
IDCJAC0010,66062,2012,12,23,28.6,1,Y,0
IDCJAC0010,66062,2012,12,24,28.9,1,Y,1
IDCJAC0010,66062,2012,12,25,20.8,1,Y,2
IDCJAC0010,66062,2012,12,26,24.7,1,Y,3
IDCJAC0010,66062,2012,12,27,23.8,1,Y,4
IDCJAC0010,66062,2012,12,28,28.7,1,Y,5
IDCJAC0010,66062,2012,12,29,23.3,1,Y,6
IDCJAC0010,66062,2012,12,30,24.3,1,Y,0
IDCJAC0010,66062,2012,12,31,27.2,1,Y,1
IDCJAC0010,66062,2013,1,1,26.2,1,Y,2
IDCJAC0010,66062,2013,1,2,22.9,1,Y,3
IDCJAC0010,66062,2013,1,3,24.8,1,Y,4
IDCJAC0010,66062,2013,1,4,26.6,1,Y,5
IDCJAC0010,66062,2013,1,5,28.3,1,Y,6
IDCJAC0010,66062,2013,1,6,28,1,Y,0
IDCJAC0010,66062,2013,1,7,27.5,1,Y,1
IDCJAC0010,66062,2013,1,8,42.3,1,Y,2
IDCJAC0010,66062,2013,1,9,25,1,Y,3
IDCJAC0010,66062,2013,1,10,25.4,1,Y,4
IDCJAC0010,66062,2013,1,11,29.6,1,Y,5
IDCJAC0010,66062,2013,1,12,31.2,1,Y,6
IDCJAC0010,66062,2013,1,13,23.8,1,Y,0
IDCJAC0010,66062,2013,1,14,23.7,1,Y,1
IDCJAC0010,66062,2013,1,15,24.9,1,Y,2
IDCJAC0010,66062,2013,1,16,27.2,1,Y,3
IDCJAC0010,66062,2013,1,17,29,1,Y,4
IDCJAC0010,66062,2013,1,18,45.8,1,Y,5
IDCJAC0010,66062,2013,1,19,24.8,1,Y,6
IDCJAC0010,66062,2013,1,20,24.3,1,Y,0
IDCJAC0010,66062,2013,1,21,26.6,1,Y,1
IDCJAC0010,66062,2013,1,22,29.6,1,Y,2
IDCJAC0010,66062,2013,1,23,25.7,1,Y,3
IDCJAC0010,66062,2013,1,24,29.8,1,Y,4
IDCJAC0010,66062,2013,1,25,29.2,1,Y,5
IDCJAC0010,66062,2013,1,26,28.2,1,Y,6
IDCJAC0010,66062,2013,1,27,22.7,1,Y,0
IDCJAC0010,66062,2013,1,28,23,1,Y,1
IDCJAC0010,66062,2013,1,29,26.2,1,Y,2
IDCJAC0010,66062,2013,1,30,26,1,Y,3
IDCJAC0010,66062,2013,1,31,27.8,1,Y,4
IDCJAC0010,66062,2013,2,1,22.7,1,Y,5
IDCJAC0010,66062,2013,2,2,21.3,1,Y,6
IDCJAC0010,66062,2013,2,3,23.2,1,Y,0
IDCJAC0010,66062,2013,2,4,25.6,1,Y,1
IDCJAC0010,66062,2013,2,5,25.3,1,Y,2
IDCJAC0010,66062,2013,2,6,26.3,1,Y,3
IDCJAC0010,66062,2013,2,7,27.7,1,Y,4
IDCJAC0010,66062,2013,2,8,28.3,1,Y,5
IDCJAC0010,66062,2013,2,9,28.2,1,Y,6
IDCJAC0010,66062,2013,2,10,29.2,1,Y,0
IDCJAC0010,66062,2013,2,11,22.2,1,Y,1
IDCJAC0010,66062,2013,2,12,22.8,1,Y,2
IDCJAC0010,66062,2013,2,13,24.7,1,Y,3
IDCJAC0010,66062,2013,2,14,26,1,Y,4
IDCJAC0010,66062,2013,2,15,26,1,Y,5
IDCJAC0010,66062,2013,2,16,25.9,1,Y,6
IDCJAC0010,66062,2013,2,17,25.9,1,Y,0
IDCJAC0010,66062,2013,2,18,27,1,Y,1
IDCJAC0010,66062,2013,2,19,27.1,1,Y,2
IDCJAC0010,66062,2013,2,20,28.4,1,Y,3
IDCJAC0010,66062,2013,2,21,27.8,1,Y,4
IDCJAC0010,66062,2013,2,22,27.5,1,Y,5
IDCJAC0010,66062,2013,2,23,24.3,1,Y,6
IDCJAC0010,66062,2013,2,24,27.4,1,Y,0
IDCJAC0010,66062,2013,2,25,28.3,1,Y,1
IDCJAC0010,66062,2013,2,26,27.5,1,Y,2
IDCJAC0010,66062,2013,2,27,27.9,1,Y,3
IDCJAC0010,66062,2013,2,28,29.7,1,Y,4
IDCJAC0010,66062,2013,3,1,20.1,1,Y,5
IDCJAC0010,66062,2013,3,2,23.1,1,Y,6
IDCJAC0010,66062,2013,3,3,25.5,1,Y,0
IDCJAC0010,66062,2013,3,4,26.1,1,Y,1
IDCJAC0010,66062,2013,3,5,26.8,1,Y,2
IDCJAC0010,66062,2013,3,6,27.3,1,Y,3
IDCJAC0010,66062,2013,3,7,27.1,1,Y,4
IDCJAC0010,66062,2013,3,8,26.8,1,Y,5
IDCJAC0010,66062,2013,3,9,27.2,1,Y,6
IDCJAC0010,66062,2013,3,10,28,1,Y,0
IDCJAC0010,66062,2013,3,11,27.4,1,Y,1
IDCJAC0010,66062,2013,3,12,26.4,1,Y,2
IDCJAC0010,66062,2013,3,13,28.3,1,Y,3
IDCJAC0010,66062,2013,3,14,24.3,1,Y,4
IDCJAC0010,66062,2013,3,15,25,1,Y,5
IDCJAC0010,66062,2013,3,16,28.7,1,Y,6
IDCJAC0010,66062,2013,3,17,24,1,Y,0
IDCJAC0010,66062,2013,3,18,23.8,1,Y,1
IDCJAC0010,66062,2013,3,19,24.7,1,Y,2
IDCJAC0010,66062,2013,3,20,24.8,1,Y,3
IDCJAC0010,66062,2013,3,21,26.3,1,Y,4
IDCJAC0010,66062,2013,3,22,31.8,1,Y,5
IDCJAC0010,66062,2013,3,23,27,1,Y,6
IDCJAC0010,66062,2013,3,24,28.4,1,Y,0
IDCJAC0010,66062,2013,3,25,30,1,Y,1
IDCJAC0010,66062,2013,3,26,26.9,1,Y,2
IDCJAC0010,66062,2013,3,27,27.7,1,Y,3
IDCJAC0010,66062,2013,3,28,33.5,1,Y,4
IDCJAC0010,66062,2013,3,29,22.3,1,Y,5
IDCJAC0010,66062,2013,3,30,23.6,1,Y,6
IDCJAC0010,66062,2013,3,31,25.4,1,Y,0
IDCJAC0010,66062,2013,4,1,24.3,1,Y,1
IDCJAC0010,66062,2013,4,2,26.2,1,Y,2
IDCJAC0010,66062,2013,4,3,18.6,1,Y,3
IDCJAC0010,66062,2013,4,4,20.9,1,Y,4
IDCJAC0010,66062,2013,4,5,23.6,1,Y,5
IDCJAC0010,66062,2013,4,6,20.6,1,Y,6
IDCJAC0010,66062,2013,4,7,22.7,1,Y,0
IDCJAC0010,66062,2013,4,8,24.2,1,Y,1
IDCJAC0010,66062,2013,4,9,22,1,Y,2
IDCJAC0010,66062,2013,4,10,24.1,1,Y,3
IDCJAC0010,66062,2013,4,11,25.3,1,Y,4
IDCJAC0010,66062,2013,4,12,26,1,Y,5
IDCJAC0010,66062,2013,4,13,25.4,1,Y,6
IDCJAC0010,66062,2013,4,14,27.7,1,Y,0
IDCJAC0010,66062,2013,4,15,27.9,1,Y,1
IDCJAC0010,66062,2013,4,16,22,1,Y,2
IDCJAC0010,66062,2013,4,17,23.6,1,Y,3
IDCJAC0010,66062,2013,4,18,24.5,1,Y,4
IDCJAC0010,66062,2013,4,19,20.2,1,Y,5
IDCJAC0010,66062,2013,4,20,19,1,Y,6
IDCJAC0010,66062,2013,4,21,22.2,1,Y,0
IDCJAC0010,66062,2013,4,22,24.7,1,Y,1
IDCJAC0010,66062,2013,4,23,25.3,1,Y,2
IDCJAC0010,66062,2013,4,24,23.8,1,Y,3
IDCJAC0010,66062,2013,4,25,23.2,1,Y,4
IDCJAC0010,66062,2013,4,26,27.2,1,Y,5
IDCJAC0010,66062,2013,4,27,26.3,1,Y,6
IDCJAC0010,66062,2013,4,28,28.7,1,Y,0
IDCJAC0010,66062,2013,4,29,26.5,1,Y,1
IDCJAC0010,66062,2013,4,30,22.7,1,Y,2
IDCJAC0010,66062,2013,5,1,25,1,Y,3
IDCJAC0010,66062,2013,5,2,20.3,1,Y,4
IDCJAC0010,66062,2013,5,3,22.9,1,Y,5
IDCJAC0010,66062,2013,5,4,26.4,1,Y,6
IDCJAC0010,66062,2013,5,5,20.1,1,Y,0
IDCJAC0010,66062,2013,5,6,20.1,1,Y,1
IDCJAC0010,66062,2013,5,7,21.5,1,Y,2
IDCJAC0010,66062,2013,5,8,21.6,1,Y,3
IDCJAC0010,66062,2013,5,9,23.2,1,Y,4
IDCJAC0010,66062,2013,5,10,23.5,1,Y,5
IDCJAC0010,66062,2013,5,11,22.1,1,Y,6
IDCJAC0010,66062,2013,5,12,22.1,1,Y,0
IDCJAC0010,66062,2013,5,13,22.8,1,Y,1
