RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.072095,0.091368,8.8339,12.764,9266.4,11724
0.071989,0.090304,8.8395,12.622,9258.8,11598
0.072579,0.091275,8.8866,12.825,9320.3,11787
0.072119,0.091213,8.8568,12.851,9274.8,11804
0.072313,0.090628,8.8809,12.767,9306.3,11702
0.072079,0.091245,8.8518,12.875,9268.3,11835
0.072204,0.092226,8.8478,12.969,9277.7,11902
0.072371,0.090385,8.8926,12.809,9311.7,11699
0.072034,0.089858,8.8243,12.58,9247.9,11593
0.072103,0.091424,8.853,12.856,9274.2,11805
0.072297,0.091725,8.8839,12.866,9299.2,11825
0.072202,0.090188,8.8492,12.832,9279.9,11684
0.071898,0.091516,8.8126,12.837,9238.7,11789
0.072513,0.090582,8.8922,12.83,9321.9,11744
0.072055,0.090671,8.821,12.658,9257.2,11694
0.071913,0.090354,8.8206,12.788,9251.1,11707
0.07185,0.090863,8.8101,12.73,9235.7,11708
0.072297,0.091648,8.8651,12.931,9297.4,11804
0.072263,0.09139,8.8523,12.748,9266.6,11720
0.072096,0.09057,8.8533,12.869,9278.1,11765
0.071917,0.091129,8.8151,12.782,9237.1,11739
0.07198,0.089642,8.8156,12.644,9247.2,11585
0.072401,0.090433,8.8715,12.7,9309.2,11681
0.072246,0.091389,8.8409,13.049,9275.9,11806
0.072174,0.090553,8.843,12.825,9270.8,11711
0.072092,0.090242,8.8531,12.591,9278.7,11594
0.072178,0.092561,8.8434,12.912,9270.1,11937
0.072207,0.089973,8.8511,12.632,9276.8,11598
0.072117,0.090788,8.8444,12.759,9272.7,11722
0.071982,0.09053,8.8158,12.544,9243.9,11595
0.072229,0.090957,8.8576,12.914,9281.2,11755
0.072046,0.091606,8.8341,12.805,9263.2,11794
0.072136,0.090441,8.8547,12.712,9266.6,11661
0.072325,0.092659,8.8832,13.014,9295.9,11958
0.07185,0.09024,8.8039,12.724,9236.9,11648
0.072075,0.090665,8.845,12.791,9270.8,11702
0.072202,0.090126,8.8544,12.63,9277.7,11594
0.072392,0.090402,8.8652,12.678,9293.7,11665
0.072239,0.090475,8.8506,12.643,9275.4,11660
0.072208,0.089732,8.8929,12.675,9303.8,11631
0.072031,0.090324,8.8198,12.677,9244.1,11680
0.072122,0.090754,8.8284,12.649,9259.1,11663
0.072022,0.089959,8.8673,12.69,9281.3,11638
0.072526,0.090659,8.8899,12.774,9328.1,11683
0.071971,0.092311,8.8428,12.951,9257.6,11857
0.072166,0.091169,8.8593,12.833,9288,11789
0.071977,0.090639,8.8451,12.747,9269,11711
0.072075,0.089875,8.8068,12.656,9255.2,11614
0.072061,0.090762,8.8206,12.769,9246.8,11687
0.07233,0.092143,8.8691,12.997,9293.2,11868
0.072093,0.090437,8.8604,12.743,9277.5,11682
0.071751,0.090169,8.8039,12.637,9234.8,11668
0.071874,0.090917,8.8057,12.788,9229.8,11731
0.072321,0.090553,8.8468,12.718,9287.3,11714
0.071841,0.09041,8.8107,12.655,9237.2,11636
0.072048,0.091003,8.8157,12.793,9259.1,11777
0.072235,0.091053,8.8559,12.854,9281.8,11745
0.072151,0.091497,8.8426,12.855,9278.8,11789
0.072338,0.091427,8.8828,12.851,9294.4,11809
0.072163,0.089987,8.8393,12.701,9272.1,11693
0.072387,0.090754,8.8965,12.75,9305.1,11744
0.0719,0.090347,8.7931,12.707,9226.8,11697
0.072051,0.089551,8.8271,12.609,9256.8,11558
0.072017,0.089837,8.8313,12.584,9259.3,11609
0.072163,0.090942,8.8701,12.664,9279.5,11703
0.072272,0.090759,8.8545,12.823,9280,11730
0.072406,0.091341,8.9022,12.856,9308.3,11742
0.071876,0.09066,8.8291,12.578,9243.9,11660
0.071987,0.091438,8.8245,12.783,9251.7,11741
0.072329,0.092158,8.8724,12.956,9292.8,11950
0.072256,0.091836,8.8553,12.885,9298.7,11871
0.072062,0.091464,8.8125,12.956,9239.7,11863
0.072061,0.090407,8.8407,12.746,9269.6,11692
0.072133,0.090901,8.8412,12.769,9284.4,11749
0.072124,0.09168,8.8331,12.975,9271.9,11827
0.072195,0.090601,8.8589,12.829,9281.6,11735
0.072152,0.090795,8.8492,12.852,9277.4,11727
0.071803,0.089792,8.7942,12.598,9227,11598
0.072221,0.09198,8.8761,12.89,9299.6,11891
0.072179,0.09068,8.8336,12.709,9268.7,11663
0.07229,0.090549,8.8503,12.7,9294.3,11701
0.072485,0.091455,8.879,12.909,9308.8,11818
0.07204,0.091987,8.8465,12.943,9259.6,11879
0.072025,0.091244,8.8246,12.844,9256.1,11765
0.072078,0.09015,8.833,12.774,9276.6,11681
0.071891,0.090636,8.8321,12.757,9255.8,11703
0.072002,0.091242,8.8284,12.893,9253.3,11788
0.072177,0.090472,8.8611,12.714,9286.2,11697
0.072174,0.090878,8.8448,12.759,9266.5,11717
0.072272,0.091623,8.8631,12.839,9271.1,11776
0.071968,0.090853,8.8172,12.737,9256,11713
0.072143,0.091058,8.8261,12.792,9259.4,11724
0.072085,0.090994,8.8326,12.779,9265.5,11755
0.072251,0.090737,8.8612,12.702,9293,11696
0.072271,0.091906,8.8634,12.927,9289.1,11821
0.072131,0.090889,8.8348,12.784,9261.5,11747
0.07205,0.090297,8.8345,12.726,9267.9,11675
0.072311,0.090174,8.869,12.891,9285.6,11711
0.072106,0.0906,8.8371,12.805,9264.6,11724
0.072083,0.090718,8.8276,12.803,9257,11740
0.072171,0.091392,8.8316,12.936,9261.6,11806
0.07244,0.091775,8.875,12.982,9310.3,11855
0.072178,0.091409,8.8546,12.866,9289,11793
0.072111,0.090998,8.847,12.774,9264.7,11755
0.072148,0.092065,8.8428,12.814,9276.4,11789
0.072447,0.09198,8.8893,13.104,9318.6,11870
0.072152,0.09075,8.8476,12.747,9269.8,11686
0.072181,0.091781,8.8565,12.924,9292.8,11872
0.071992,0.090056,8.8198,12.565,9252.8,11618
0.071961,0.089642,8.8172,12.524,9265.4,11564
0.072061,0.09023,8.8408,12.595,9263.8,11608
0.071954,0.091406,8.847,12.817,9263.9,11774
0.072465,0.091992,8.8934,12.976,9318.1,11853
0.072141,0.091133,8.8408,12.743,9273.9,11793
0.072053,0.091207,8.8263,12.979,9258.3,11846
0.072135,0.090742,8.8504,12.723,9268.9,11686
0.072391,0.090446,8.848,12.703,9293.7,11657
0.072064,0.090387,8.8292,12.604,9256.5,11636
0.071814,0.090728,8.8011,12.733,9234.4,11746
0.072361,0.091395,8.867,12.82,9294.9,11822
0.072315,0.09042,8.8712,12.708,9293.7,11694
0.072311,0.090179,8.8443,12.662,9280.1,11657
0.071958,0.091679,8.8182,12.851,9248.5,11796
0.072309,0.090927,8.8608,12.821,9295.9,11748
0.072023,0.091448,8.8295,12.777,9257.1,11798
0.072047,0.091607,8.8237,13.031,9245,11886
0.072124,0.092338,8.8548,12.964,9279.3,11879
0.07232,0.092133,8.8461,13.002,9282.7,11906
0.072091,0.090877,8.8339,12.771,9272.9,11728
0.072158,0.090103,8.8548,12.704,9286.7,11673
0.072388,0.091007,8.8674,12.849,9302.1,11775
0.071894,0.09159,8.8149,12.96,9236.2,11870
0.072152,0.09217,8.8343,12.966,9269.2,11927
0.072101,0.091405,8.8456,12.843,9270.9,11775
0.072158,0.091332,8.8505,12.767,9279.2,11716
0.072094,0.09022,8.8406,12.689,9273.1,11657
0.072321,0.091903,8.8708,12.85,9294.2,11804
0.071956,0.092094,8.7948,12.768,9248,11805
0.072322,0.09171,8.8665,12.926,9287,11822
0.072144,0.089677,8.8382,12.722,9277.1,11600
0.072216,0.089803,8.8667,12.712,9290.6,11603
0.072153,0.090372,8.8571,12.781,9290.9,11691
0.072118,0.092244,8.8443,12.911,9266.1,11825
0.071853,0.090814,8.7984,12.674,9235.9,11661
0.072326,0.090873,8.8711,12.811,9299.2,11742
0.072095,0.091565,8.8384,12.962,9264.8,11809
0.072178,0.091366,8.8557,12.712,9275,11740
0.072305,0.090162,8.8564,12.734,9291.5,11642
0.072362,0.090789,8.8709,12.709,9298.8,11675
0.072223,0.09116,8.8715,12.814,9299.4,11769
0.072156,0.091267,8.8306,12.846,9263.1,11739
0.072128,0.089597,8.8275,12.628,9265.4,11605
0.071966,0.090096,8.8272,12.727,9243.2,11655
0.072278,0.0914,8.8698,12.855,9293.2,11747
0.072262,0.089896,8.837,12.624,9275.3,11590
0.072058,0.090359,8.8353,12.767,9266.1,11706
0.072153,0.090758,8.8483,12.709,9272.9,11702
0.072012,0.089775,8.8144,12.612,9252.6,11583
0.071918,0.090251,8.8096,12.743,9231.8,11674
0.072061,0.090053,8.8621,12.631,9276.8,11595
0.072437,0.091073,8.8813,12.877,9311.9,11750
0.071837,0.090628,8.807,12.797,9242.9,11701
0.072013,0.090773,8.83,12.612,9250.6,11681
0.072136,0.092096,8.8449,12.879,9282.6,11817
0.072098,0.090326,8.8499,12.721,9274.9,11689
0.071898,0.089673,8.7974,12.66,9239.4,11567
0.072208,0.091892,8.8525,12.795,9285.3,11797
0.072034,0.091177,8.8356,12.794,9264.4,11760
0.072005,0.090735,8.8419,12.586,9265.2,11655
0.071974,0.090949,8.8126,12.79,9258.1,11765
0.07223,0.090091,8.8524,12.659,9290.1,11633
0.072008,0.091781,8.8459,12.88,9270.7,11851
0.072007,0.092286,8.8222,12.831,9252.9,11877
0.072436,0.091618,8.8631,12.904,9291.5,11859
0.072125,0.090267,8.8392,12.737,9267.7,11656
0.072157,0.091481,8.8315,12.904,9277.7,11835
0.072223,0.092049,8.8627,13.106,9290.8,11882
0.072113,0.091565,8.8481,12.933,9279.2,11858
0.072346,0.091061,8.8595,12.726,9298.3,11696
0.07227,0.091174,8.8689,12.743,9300.1,11773
0.072289,0.090259,8.8582,12.817,9290.7,11707
0.072196,0.091037,8.8544,12.819,9281.2,11739
0.07204,0.090109,8.8355,12.613,9265.3,11603
0.071894,0.091285,8.8224,12.791,9261.9,11750
0.072036,0.090619,8.8184,12.691,9254.4,11681
0.07196,0.091343,8.8287,12.874,9256,11789
0.07209,0.091137,8.8411,12.727,9266.3,11734
0.072196,0.091121,8.8379,12.861,9272.8,11783
0.072154,0.091392,8.8607,12.834,9286.8,11777
0.072301,0.091496,8.8477,12.782,9295.5,11715
0.072154,0.092368,8.8513,13.041,9277.4,11957
0.072184,0.0913,8.8409,12.81,9270.1,11748
0.072521,0.091845,8.91,12.867,9327.5,11843
0.07204,0.090795,8.8459,12.756,9268.7,11679
0.072132,0.090858,8.8386,12.737,9267.2,11733
0.072311,0.091265,8.8627,12.807,9292.9,11733
0.07229,0.091655,8.8552,12.862,9285.2,11827
0.071928,0.090593,8.8123,12.639,9247.8,11656
0.072203,0.092304,8.8601,13,9292.2,11873
0.072003,0.091267,8.8415,12.862,9265,11791
0.072149,0.091783,8.8616,12.891,9290.5,11842
0.071911,0.091131,8.8219,12.891,9250.8,11741
0.072329,0.09035,8.871,12.732,9290.6,11730
0.072114,0.089724,8.8218,12.468,9260.3,11532
0.072274,0.092767,8.859,13.002,9285.7,11925
0.071854,0.091048,8.8012,12.711,9229.3,11670
0.071991,0.090879,8.8261,12.85,9272.5,11735
0.072082,0.091804,8.809,12.884,9246.1,11836
0.072083,0.090877,8.8467,12.737,9281.6,11709
0.072136,0.091125,8.8557,12.788,9269.8,11775
0.072349,0.090833,8.879,12.684,9309.5,11666
0.072058,0.090873,8.8203,12.84,9246.7,11751
0.072352,0.092404,8.8486,12.814,9282.1,11867
0.07217,0.09053,8.8416,12.686,9270.4,11661
0.072127,0.091967,8.8249,12.987,9260.4,11878
0.072086,0.090655,8.8423,12.727,9273.8,11692
0.072153,0.090623,8.8212,12.739,9253.8,11716
0.072202,0.09209,8.8676,13.04,9277,11906
0.071789,0.09114,8.8253,12.822,9244.6,11757
0.072099,0.090465,8.827,12.649,9261.6,11680
0.072179,0.089755,8.8308,12.574,9274.7,11570
0.072149,0.0916,8.8452,12.847,9276.9,11774
0.072411,0.091259,8.8677,12.892,9299.9,11792
0.072235,0.091766,8.8467,12.826,9281,11835
0.072124,0.091675,8.8294,12.89,9252.3,11845
0.072397,0.090665,8.8707,12.934,9298.8,11769
0.07201,0.09134,8.8442,12.709,9262.9,11741
0.072186,0.090372,8.8515,12.712,9278.4,11692
0.072196,0.091647,8.8443,12.868,9269.9,11812
0.072219,0.091175,8.8438,12.759,9280.4,11718
0.072332,0.091704,8.8655,12.86,9293.4,11754
0.071947,0.091167,8.8176,12.655,9247.6,11706
0.071941,0.090447,8.8391,12.776,9266.2,11723
0.072285,0.091218,8.8563,12.881,9285.3,11778
0.072186,0.091814,8.8607,12.885,9290.9,11767
0.072162,0.09075,8.8544,12.743,9272.5,11703
0.071747,0.090428,8.7677,12.638,9211.9,11629
0.072211,0.091401,8.8401,12.903,9274.7,11822
0.071981,0.091671,8.8162,12.807,9240.3,11842
0.071927,0.089999,8.7972,12.659,9225.8,11592
0.072106,0.090433,8.8263,12.77,9257.6,11710
0.0723,0.091188,8.8804,12.832,9296.8,11746
0.072152,0.091172,8.8532,12.778,9285,11762
0.072027,0.091126,8.8355,12.876,9252,11770
0.07184,0.091746,8.8331,12.891,9255.2,11808
0.0719,0.091092,8.8092,12.71,9234,11720
0.072086,0.090763,8.8515,12.818,9265.6,11729
0.07174,0.090478,8.8063,12.743,9235.2,11666
0.072137,0.091041,8.8407,12.818,9266.4,11774
0.072038,0.091068,8.8346,12.892,9257.5,11759
0.072054,0.091456,8.837,12.832,9263.9,11769
0.07212,0.089845,8.8454,12.692,9272.8,11634
0.071924,0.091422,8.8127,12.933,9236.1,11765
0.072245,0.090502,8.8506,12.861,9277.5,11711
0.071998,0.090972,8.8275,12.654,9255.3,11711
0.072206,0.09054,8.8403,12.787,9264.5,11698
0.072257,0.092075,8.855,12.867,9276.4,11865
0.072292,0.090898,8.8786,12.802,9295.9,11760
0.071933,0.090461,8.8173,12.729,9247,11671
0.071748,0.090421,8.7935,12.756,9216.6,11686
0.071988,0.090088,8.8454,12.732,9269.7,11658
0.072283,0.091539,8.8763,12.978,9301.6,11813
0.072125,0.091854,8.8542,12.903,9276.6,11811
0.072251,0.089904,8.8361,12.527,9285.5,11584
0.072177,0.090777,8.8526,12.812,9282.4,11767
0.072212,0.090955,8.8518,12.855,9288.2,11746
0.07224,0.091856,8.8756,12.893,9294,11845
0.071928,0.091095,8.8131,12.714,9239.1,11733
0.071994,0.089568,8.8298,12.721,9254.8,11621
0.072182,0.091054,8.839,12.846,9265.2,11764
0.072077,0.092085,8.8434,12.824,9284.4,11827
0.071922,0.09047,8.8358,12.79,9257.4,11704
0.072053,0.090379,8.8267,12.606,9258.5,11631
0.072188,0.091758,8.8494,12.927,9278.4,11886
0.072284,0.090842,8.8488,12.587,9275.6,11655
0.071905,0.09107,8.8083,12.67,9234.3,11735
0.072011,0.090881,8.8135,12.8,9256.3,11727
0.072248,0.090334,8.8579,12.665,9280.7,11645
0.071753,0.09012,8.7873,12.658,9218.1,11648
0.071872,0.090436,8.8377,12.685,9262.8,11661
0.072288,0.090498,8.8577,12.907,9287.3,11745
0.072034,0.089823,8.8452,12.649,9266.9,11636
0.072001,0.090056,8.8306,12.634,9263.9,11606
0.072151,0.090784,8.8414,12.802,9268.1,11729
0.072265,0.091442,8.8783,12.86,9307.2,11785
0.072121,0.090227,8.8656,12.747,9283,11703
0.072297,0.091037,8.862,12.651,9286.9,11687
0.071921,0.090036,8.8136,12.727,9246.6,11622
0.072206,0.091036,8.8795,12.712,9304.8,11715
0.072136,0.091318,8.8416,12.644,9273.5,11735
0.072317,0.09083,8.8779,12.758,9312,11713
0.072091,0.090874,8.8339,12.81,9259.3,11770
0.071882,0.091946,8.8082,13.007,9241.8,11874
0.072197,0.091683,8.8757,12.898,9288.5,11780
0.072139,0.090692,8.8541,12.675,9278.7,11688
0.071969,0.09287,8.83,12.979,9241.3,11926
0.072013,0.090189,8.8157,12.729,9249.2,11684
0.072107,0.091641,8.8328,12.77,9258.1,11761
0.072211,0.090584,8.8592,12.825,9282.8,11741
0.072128,0.090465,8.8559,12.729,9276.2,11683
0.072088,0.091016,8.8303,12.718,9258.8,11710
0.072007,0.091176,8.8231,12.838,9265.6,11770
0.072439,0.091653,8.8975,12.933,9322.9,11797
0.072172,0.091676,8.8411,12.936,9259.7,11871
0.072068,0.090998,8.8389,12.885,9259.2,11783
0.071963,0.090796,8.8294,12.879,9251.7,11756
0.071889,0.0911,8.8039,12.794,9229.2,11726
0.072292,0.092416,8.8892,13.125,9298.4,11906
0.072029,0.091016,8.8201,12.635,9255.9,11707
0.072107,0.089963,8.8504,12.624,9269.1,11608
0.072145,0.091269,8.8456,12.703,9265.8,11760
0.072277,0.090374,8.8447,12.542,9284,11601
0.072152,0.091333,8.8558,12.925,9277.6,11820
0.072276,0.091333,8.8796,13.016,9306.9,11832
0.072376,0.090304,8.8657,12.637,9304.4,11642
0.07189,0.091643,8.8037,12.774,9241.3,11766
0.072238,0.091419,8.8492,12.851,9281.4,11795
0.072049,0.090323,8.8348,12.822,9260.4,11686
0.072073,0.091287,8.8431,12.816,9271.6,11822
0.071996,0.09157,8.8232,12.85,9260.2,11804
0.072061,0.090936,8.834,12.754,9264.8,11720
0.072341,0.093251,8.878,13.187,9292.4,12041
0.072022,0.089814,8.8353,12.528,9274.5,11575
0.072272,0.090512,8.8675,12.737,9300.5,11724
0.072183,0.090896,8.8387,12.936,9280.6,11796
0.072239,0.092039,8.8595,13.03,9286.3,11870
0.07213,0.092009,8.8448,13.016,9270.1,11892
0.071762,0.091014,8.8071,12.74,9247.4,11702
0.071995,0.091365,8.81,13.006,9245.8,11836
0.072136,0.089794,8.8464,12.656,9274.6,11596
0.072018,0.091392,8.838,12.764,9266.3,11787
0.072025,0.091252,8.8322,12.779,9251.7,11719
0.072113,0.092317,8.8495,12.898,9276.1,11873
0.07242,0.091169,8.8669,12.762,9304.8,11763
0.072254,0.092061,8.8642,12.886,9287.7,11860
