RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.14159,0.16059,18.874,26.914,19019,21639
0.1415,0.16026,18.859,26.839,19004,21595
0.14169,0.16051,18.884,26.916,19032,21628
0.14141,0.16044,18.842,26.857,18984,21615
0.14143,0.16057,18.847,26.884,18988,21626
0.14157,0.16051,18.867,26.895,19015,21625
0.14182,0.16061,18.909,26.933,19058,21637
0.14151,0.16037,18.859,26.869,19004,21611
0.14141,0.16044,18.846,26.857,18988,21613
0.14159,0.16077,18.877,26.934,19020,21645
0.14139,0.1604,18.838,26.856,18980,21613
0.14155,0.16055,18.864,26.903,19011,21620
0.14155,0.16034,18.873,26.89,19016,21611
0.14143,0.16059,18.846,26.889,18989,21635
0.14129,0.16058,18.828,26.868,18970,21623
0.14147,0.16081,18.853,26.931,18996,21667
0.1419,0.16067,18.923,26.957,19073,21651
0.14174,0.16071,18.896,26.955,19043,21652
0.14157,0.16049,18.867,26.897,19013,21619
0.14158,0.16029,18.877,26.873,19023,21606
0.14153,0.16044,18.861,26.885,19006,21619
0.1418,0.16057,18.906,26.933,19053,21638
0.14149,0.16046,18.853,26.881,18996,21626
0.14193,0.16046,18.939,26.941,19083,21642
0.1417,0.16068,18.89,26.935,19038,21639
0.14206,0.16056,18.968,26.968,19108,21647
0.14162,0.16051,18.873,26.902,19020,21620
0.14146,0.16037,18.85,26.864,18993,21614
0.14151,0.16037,18.858,26.872,19004,21623
0.14178,0.1606,18.904,26.945,19051,21644
0.14159,0.16038,18.871,26.881,19017,21613
0.14177,0.16044,18.898,26.908,19049,21621
0.14144,0.16038,18.847,26.838,18990,21604
0.14152,0.1605,18.857,26.875,19001,21615
0.14177,0.16031,18.907,26.9,19053,21614
0.14149,0.16045,18.854,26.876,18997,21622
0.14167,0.16062,18.883,26.917,19029,21629
0.14137,0.16072,18.837,26.9,18978,21647
0.14141,0.16054,18.843,26.873,18984,21628
0.14162,0.16042,18.876,26.889,19023,21615
0.14163,0.1606,18.873,26.912,19021,21628
0.14166,0.16059,18.888,26.921,19031,21633
0.14148,0.16043,18.849,26.875,18993,21617
0.14137,0.16034,18.836,26.844,18978,21598
0.14173,0.16051,18.893,26.907,19039,21629
0.14158,0.16052,18.869,26.887,19015,21615
0.14134,0.16055,18.827,26.866,18970,21625
0.14153,0.16038,18.86,26.882,19006,21618
0.14165,0.16025,18.878,26.869,19026,21607
0.14155,0.16064,18.866,26.909,19010,21637
0.14152,0.16049,18.858,26.883,19002,21629
0.14154,0.16051,18.862,26.886,19007,21625
0.14162,0.16032,18.88,26.866,19025,21608
0.14147,0.16052,18.85,26.881,18996,21622
0.14145,0.16038,18.849,26.851,18993,21605
0.14138,0.16049,18.836,26.87,18980,21623
0.14155,0.16039,18.868,26.881,19013,21613
0.14154,0.16043,18.865,26.875,19010,21614
0.14153,0.16055,18.857,26.892,19006,21622
