RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.062329,0.084327,7.6684,11.648,8147,10853
0.062287,0.084206,7.6553,11.603,8138.6,10757
0.062208,0.08313,7.6381,11.516,8138.2,10706
0.062567,0.084331,7.708,11.699,8191.6,10877
0.062446,0.084767,7.6906,11.753,8167.6,10916
0.06236,0.084342,7.6535,11.699,8152.6,10870
0.062447,0.083902,7.6745,11.479,8162.3,10742
0.062497,0.084726,7.675,11.728,8181.4,10905
0.06234,0.084471,7.6703,11.649,8145.5,10843
0.062521,0.08346,7.687,11.582,8181,10768
0.06233,0.085258,7.6607,11.638,8148.8,10877
0.062573,0.084719,7.689,11.64,8169.8,10850
0.062571,0.084556,7.6937,11.816,8175.6,10914
0.062218,0.083797,7.6625,11.637,8133.1,10842
0.06264,0.085017,7.7077,11.772,8197.9,10973
0.062342,0.08301,7.6459,11.426,8141,10646
0.062594,0.084142,7.7011,11.628,8200.4,10820
0.062488,0.083417,7.6877,11.502,8166.2,10780
0.062221,0.084983,7.6393,11.656,8117.7,10872
0.062427,0.084775,7.6804,11.855,8159.1,10909
0.062475,0.083349,7.6774,11.483,8159.3,10701
0.062467,0.085874,7.6982,11.944,8173.6,11032
0.062366,0.084159,7.6797,11.706,8160.3,10850
0.062218,0.083205,7.6401,11.603,8134.1,10739
0.062417,0.083232,7.6613,11.611,8156,10758
0.062492,0.082807,7.6801,11.592,8169.5,10748
0.062508,0.082907,7.6546,11.628,8162.3,10709
0.062601,0.085618,7.688,11.829,8173.8,10949
0.062583,0.08297,7.6995,11.577,8187.8,10680
0.06227,0.083346,7.6742,11.548,8150.6,10722
0.062415,0.08293,7.6644,11.489,8148.2,10682
0.062106,0.083882,7.6141,11.615,8117.8,10814
0.062304,0.083351,7.6617,11.533,8148.2,10735
0.062432,0.083901,7.6712,11.609,8172.4,10810
0.062501,0.083324,7.6772,11.589,8163.5,10727
0.062437,0.084113,7.669,11.658,8171,10813
0.062435,0.083452,7.6782,11.599,8165.6,10782
0.06225,0.083044,7.6441,11.538,8143.5,10741
0.062522,0.083937,7.6944,11.62,8172.6,10838
0.062579,0.085046,7.7049,11.804,8181.4,10949
0.062416,0.084233,7.6704,11.696,8153.2,10881
0.062525,0.083298,7.6835,11.673,8166.8,10759
0.062285,0.08353,7.6538,11.485,8137.6,10727
0.062136,0.08361,7.6335,11.611,8133.9,10780
0.062821,0.08432,7.7109,11.796,8199.4,10885
0.062352,0.085614,7.662,11.729,8159.9,10948
0.062328,0.08389,7.6651,11.72,8145.7,10822
0.062596,0.082583,7.6874,11.547,8184.1,10704
0.062443,0.084565,7.6696,11.754,8162.1,10872
0.06229,0.083925,7.6435,11.615,8137.5,10794
0.062368,0.083157,7.6545,11.612,8141.1,10771
0.062561,0.083165,7.6904,11.488,8179.5,10674
0.062217,0.084023,7.6631,11.684,8141.8,10810
0.062409,0.084722,7.6616,11.712,8154.1,10884
0.062392,0.084217,7.6606,11.674,8149,10851
0.062611,0.084077,7.7023,11.687,8188.2,10842
0.062561,0.083319,7.6919,11.588,8175.8,10768
0.062497,0.084536,7.6783,11.741,8174.4,10933
0.062706,0.084218,7.6973,11.734,8182.7,10830
0.062422,0.084471,7.6825,11.721,8154,10883
0.062329,0.083603,7.6576,11.56,8155.9,10758
0.06227,0.083848,7.6603,11.65,8136.6,10814
0.062569,0.085639,7.6832,11.739,8173.8,10888
0.062323,0.084661,7.6464,11.599,8141.4,10810
0.062395,0.084031,7.6616,11.581,8161.3,10812
0.062499,0.084822,7.6827,11.715,8179.5,10890
0.062364,0.083876,7.6581,11.796,8143.9,10857
0.062258,0.08499,7.6417,11.689,8132.1,10910
0.061935,0.084775,7.6028,11.658,8098.4,10871
0.062365,0.083176,7.6457,11.613,8144.3,10755
0.0625,0.083521,7.6635,11.623,8164,10758
0.062431,0.083391,7.6902,11.589,8172.2,10798
0.062544,0.083028,7.6854,11.562,8180.7,10689
0.062263,0.084138,7.6568,11.533,8147.1,10787
0.062304,0.084094,7.6623,11.658,8161.9,10846
0.062257,0.082202,7.6476,11.551,8131.4,10642
0.062372,0.084288,7.6785,11.717,8149.3,10851
0.062674,0.084839,7.6971,11.827,8192.4,10954
0.06249,0.085108,7.6996,11.888,8177.2,10996
0.062187,0.085078,7.6574,11.701,8138,10888
0.062583,0.083835,7.6653,11.493,8177.8,10771
0.062647,0.084234,7.677,11.65,8179,10843
0.06237,0.084567,7.6648,11.757,8152.3,10853
0.062381,0.084993,7.6792,11.733,8165.6,10908
0.062455,0.083484,7.6783,11.613,8159.7,10757
0.062288,0.08236,7.6654,11.562,8143,10667
0.062319,0.08362,7.6646,11.527,8146.8,10742
0.062304,0.084053,7.657,11.658,8137.3,10852
0.062602,0.085576,7.6838,11.79,8165.9,11013
0.062636,0.084734,7.7015,11.732,8194.6,10887
0.062594,0.084214,7.6915,11.79,8180.1,10903
0.062389,0.083674,7.669,11.64,8156,10790
0.062446,0.08402,7.6698,11.536,8170.6,10770
0.062412,0.083691,7.6758,11.601,8148.1,10807
0.062542,0.083672,7.6741,11.693,8170.2,10836
0.062224,0.085157,7.6527,11.655,8133.8,10860
0.062342,0.083864,7.6658,11.66,8151.2,10828
0.062339,0.085186,7.667,11.763,8145.4,10932
0.062353,0.084806,7.6636,11.668,8150.9,10891
0.062568,0.084061,7.6967,11.641,8192.4,10845
0.062625,0.085052,7.6936,11.781,8172,10942
0.0626,0.084517,7.6899,11.642,8175.2,10815
0.062401,0.08461,7.6799,11.797,8158.5,10898
0.062588,0.085344,7.698,11.844,8180.3,10971
0.062087,0.083624,7.6572,11.754,8136.5,10822
0.062022,0.083537,7.6301,11.498,8122.1,10724
0.06258,0.083698,7.7084,11.567,8192.5,10793
0.062493,0.083295,7.6985,11.537,8182.5,10773
0.062609,0.085024,7.7047,11.687,8188.2,10887
0.062462,0.082819,7.685,11.556,8168.7,10673
0.062392,0.084029,7.6628,11.596,8156.9,10800
0.062346,0.083536,7.6617,11.663,8152.8,10801
0.062359,0.084207,7.6644,11.731,8148,10830
0.062586,0.084071,7.691,11.65,8179.4,10810
0.062188,0.083117,7.6518,11.573,8132.8,10733
0.062512,0.084265,7.7043,11.873,8175.2,10914
0.062627,0.083644,7.6956,11.503,8180.9,10773
0.062251,0.083643,7.6673,11.584,8148.5,10746
0.06266,0.084093,7.705,11.536,8190.7,10753
