RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.06301,0.07991,7.7751,11.281,8194.9,10344
0.062547,0.080236,7.6871,11.333,8139.2,10370
0.062729,0.081106,7.7184,11.477,8153.4,10489
0.062823,0.079745,7.75,11.351,8189.7,10343
0.062613,0.079617,7.6732,11.231,8128.8,10306
0.062673,0.080712,7.7055,11.607,8152.9,10525
0.062639,0.08037,7.6874,11.522,8125.9,10416
0.062936,0.079628,7.7543,11.357,8199.5,10339
0.062293,0.08013,7.6375,11.373,8090.3,10394
0.062839,0.080093,7.7206,11.444,8167.6,10420
0.06271,0.08123,7.6851,11.627,8140.3,10590
0.062683,0.080129,7.6797,11.356,8133.9,10360
0.062892,0.08086,7.7294,11.508,8181.9,10478
0.062526,0.079342,7.6718,11.345,8120.6,10305
0.062658,0.079563,7.6772,11.293,8140.7,10301
0.062941,0.079111,7.7244,11.291,8178.5,10299
0.062709,0.079756,7.7154,11.271,8155.2,10327
0.062747,0.079328,7.7184,11.294,8156.5,10303
0.062644,0.080563,7.6743,11.436,8137.2,10435
0.062592,0.080297,7.6922,11.334,8143.9,10401
0.062675,0.079683,7.6816,11.27,8141.9,10337
0.062377,0.080696,7.6804,11.384,8122,10366
0.062877,0.080555,7.7425,11.53,8185.2,10481
0.062557,0.079825,7.6902,11.453,8124.4,10370
0.062766,0.07897,7.705,11.194,8160.6,10233
0.062434,0.079958,7.6749,11.312,8122.8,10335
0.062876,0.079419,7.7351,11.286,8174.4,10269
0.062781,0.081212,7.7141,11.378,8163.1,10433
0.06269,0.079273,7.7144,11.23,8161.5,10276
0.062701,0.080626,7.6897,11.354,8135,10409
0.062551,0.080037,7.6725,11.273,8130.1,10355
0.062587,0.080096,7.69,11.495,8127.5,10409
0.06268,0.081242,7.694,11.552,8134.8,10517
0.062852,0.080807,7.7566,11.483,8178.6,10475
0.063123,0.080003,7.7697,11.425,8210,10398
0.062572,0.080983,7.6743,11.467,8133.7,10506
0.062499,0.079776,7.6729,11.463,8123.6,10367
0.062755,0.079601,7.6992,11.399,8151.4,10381
