RMSE
0.37442
0.32821
0.31587
0.31314
0.30562
0.30251
0.30037
0.29887
0.29836
0.29503
0.29554
0.29514
0.29374
0.293
0.2921
0.29087
0.29162
0.28989
0.28983
0.28926
0.28883
0.28813
0.28784
0.28745
0.28745
0.28637
0.28703
0.28691
0.28619
0.2855
0.28537
0.28551
0.28543
0.28441
0.28452
0.28496
0.285
0.28437
0.28399
0.28448
0.28414
0.28432
0.2841
0.28361
0.28405
0.28354
0.28375
0.28356
0.28305
0.28314
0.28321
0.28292
0.28326
0.28303
0.28284
0.28282
0.28295
0.28294
0.28218
0.28335
0.28264
0.28292
0.28225
0.28269
0.2826
0.28312
0.28267
0.28265
0.28243
0.28329
0.28246
0.28248
0.28251
0.28274
0.28248
0.28251
0.28266
0.28241
0.28256
0.28273
0.28238
0.28249
0.28268
0.28238
0.28251
0.28295
0.28232
0.28259
0.2823
0.28238
0.28253
0.28292
0.28223
0.2829
0.28266
0.28244
0.28264
0.2828
0.28287
0.28304
0.28278
0.28269
0.2827
0.28243
0.28281
0.28285
0.28279
0.28314
0.28244
0.28275
0.28272
0.28313
0.28259
0.28267
0.28227
0.28291
0.28272
0.2832
0.28318
0.2827
0.2827
0.28293
0.28316
0.28363
0.28321
0.28338
0.28314
0.28327
0.28327
0.28316
0.28301
0.28317
0.28323
0.28309
0.28294
0.28376
0.28315
0.28324
0.28345
0.28326
0.28319
0.28324
0.28338
0.28329
0.28359
0.2836
0.28372
0.28347
0.28351
0.28373
0.28348
0.28424
0.28432
0.28381
0.28386
0.28362
0.28416
0.28351
0.28352
0.28383
0.28412
0.28376
0.28404
0.28423
0.28404
0.28413
0.28429
0.28444
0.28408
0.2848
0.28448
0.28453
0.28457
0.28414
0.28459
0.28439
0.28468
0.28467
0.28447
0.28447
0.28474
0.28437
0.28468
0.28513
0.28473
0.28484
0.28446
0.28499
0.28504
0.28573
0.28474
0.28547
0.28506
0.28537
0.28496
0.28519
0.28531
0.28531
0.28574
0.28504
0.28555
0.28554
0.28538
0.28497
0.28601
0.28506
0.28591
0.28539
0.2867
0.28645
0.28624
0.28619
0.28614
0.28645
0.28591
0.28584
0.28602
0.28625
0.28606
0.28601
0.2868
0.28658
0.28683
0.2866
0.28683
0.28654
0.2865
0.28686
0.28684
0.28666
0.28687
0.28692
0.28663
0.28678
0.28745
0.28757
0.28761
0.28749
0.28731
0.28784
0.28708
0.28751
0.28782
0.28728
0.28688
0.28768
0.28736
0.28659
0.28751
0.2876
0.2884
0.2875
0.28831
0.28808
0.28782
0.28755
0.28747
0.2881
0.28814
0.28868
0.28812
0.28876
0.28757
0.28923
0.28783
0.28839
0.28911
0.28862
0.28873
0.28863
0.28959
0.28918
0.28929
0.28869
0.28913
0.28949
0.28902
0.2897
0.28952
0.28917
0.28928
0.28977
0.29018
0.289
0.28963
0.28941
0.28935
0.29036
0.29075
0.29092
0.29043
0.28973
0.29037
0.29051
0.29048
0.28994
0.29154
0.29138
0.29102
0.29033
