Training,Testing
0.066007,0.08537
0.065605,0.084336
0.065384,0.083015
0.065634,0.084135
0.065634,0.08435
0.065638,0.084099
0.066019,0.085648
0.065877,0.084593
0.065582,0.084793
0.066069,0.084604
0.065535,0.085044
0.065698,0.085052
0.065119,0.084914
0.065425,0.084647
0.06586,0.084134
0.065369,0.084716
0.065544,0.084249
0.065545,0.084774
0.065481,0.085576
0.065731,0.085296
0.065245,0.084641
0.066012,0.084827
0.065513,0.085845
0.065458,0.084282
0.065692,0.084506
0.065682,0.084625
0.06529,0.084149
0.065767,0.084893
0.065418,0.084506
0.065845,0.084483
0.065582,0.083549
0.065315,0.083543
0.065574,0.083987
0.066058,0.083311
0.06514,0.086299
0.065486,0.084382
0.065623,0.084429
0.06568,0.086349
0.065752,0.084025
0.065769,0.08822
0.065607,0.088181
0.066146,0.083202
0.065026,0.08536
0.06568,0.086744
0.06567,0.085062
0.065876,0.084746
0.065737,0.08396
0.065247,0.087279
0.065432,0.085678
0.065125,0.084176
0.065086,0.085353
0.065556,0.08459
0.065811,0.084214
0.065673,0.084596
0.065715,0.083552
0.065608,0.08546
0.065823,0.083986
0.065905,0.085784
0.065439,0.085532
0.065201,0.085214
0.065501,0.083046
0.065411,0.083745
0.065794,0.085843
0.065689,0.084727
0.065511,0.083802
0.065867,0.085745
0.065248,0.085372
0.065427,0.08461
0.065768,0.085874
0.065961,0.085651
0.065467,0.084134
0.06609,0.084955
0.065758,0.084678
0.06597,0.083221
0.065492,0.084172
0.065485,0.083059
0.065562,0.085744
0.064992,0.084402
0.065852,0.086207
0.065103,0.084536
0.065886,0.086029
0.065677,0.084619
0.06551,0.085407
0.065515,0.084676
0.065308,0.083751
0.065581,0.085006
0.065666,0.084673
0.065483,0.084589
0.065289,0.08427
0.065548,0.085468
0.065784,0.085058
0.065774,0.086308
0.065271,0.083298
0.065467,0.083429
0.065643,0.083973
0.065543,0.083924
0.065881,0.085872
0.065324,0.084133
0.065617,0.082961
0.065339,0.085055
0.065723,0.084798
0.065791,0.08453
0.065359,0.083858
0.066198,0.082627
0.065137,0.085158
0.06534,0.084536
0.066125,0.085009
0.06578,0.083874
0.066002,0.084145
0.065315,0.086121
0.065352,0.084947
0.065925,0.085641
0.065238,0.085407
0.065501,0.084447
0.065992,0.08414
0.06554,0.084113
0.065573,0.084867
0.065934,0.084559
0.065492,0.083422
0.065622,0.084128
0.065721,0.084723
0.065429,0.08355
0.065557,0.083097
0.065449,0.084449
0.065267,0.082245
0.06621,0.084888
0.065527,0.0848
0.065484,0.083017
0.066058,0.08225
0.065396,0.08462
0.065097,0.083373
0.06561,0.084431
0.06518,0.083184
0.065408,0.084787
0.065701,0.086526
0.065372,0.08414
0.065808,0.085358
0.065682,0.085016
0.065363,0.084642
0.065599,0.084708
0.065118,0.084847
0.065206,0.084603
0.065757,0.08477
0.06534,0.085959
0.065316,0.084899
0.065373,0.084102
0.065622,0.084862
0.065438,0.083471
0.066183,0.083677
0.065787,0.083922
0.065346,0.084383
0.065454,0.084366
0.065647,0.08444
0.065833,0.084938
0.065467,0.084032
0.065515,0.084756
0.065816,0.085916
