Training,Testing
0.074243,0.090979
0.07415,0.092792
0.074254,0.089983
0.074203,0.090547
0.074178,0.093016
0.074223,0.091076
0.074269,0.092357
0.07476,0.09179
0.074379,0.092377
0.074422,0.090916
0.074092,0.091195
0.0746,0.094636
0.074124,0.090896
0.074495,0.090748
0.074428,0.091643
0.074687,0.092141
0.074201,0.091782
0.074449,0.09145
0.074452,0.091215
0.074463,0.093559
0.074356,0.091161
0.074558,0.092215
0.074326,0.091497
0.074741,0.094036
0.074023,0.092138
0.074315,0.091406
0.074332,0.091451
0.074237,0.090538
0.074552,0.091629
0.074595,0.092997
0.074522,0.093394
0.074206,0.091124
0.074389,0.091805
0.074329,0.091302
0.074405,0.091558
0.074506,0.09322
0.07439,0.092078
0.074398,0.091387
0.074208,0.090465
0.07397,0.091845
0.07407,0.091307
0.074846,0.092722
0.074507,0.093838
0.074404,0.090884
0.073781,0.091878
0.074468,0.092961
0.074309,0.091877
0.074898,0.091991
0.074426,0.0921
0.07467,0.092875
0.074225,0.092767
0.074464,0.092922
0.074499,0.090504
0.074407,0.091044
0.07394,0.090658
0.073948,0.0926
0.074056,0.09188
0.074323,0.092369
0.07458,0.091849
0.074177,0.090988
0.074548,0.092946
0.074377,0.091556
0.073926,0.092341
0.074411,0.09162
0.07468,0.092557
0.074142,0.090838
0.074343,0.09058
0.074351,0.090893
0.074583,0.091892
0.073969,0.090325
0.074606,0.093539
0.074129,0.091216
0.074239,0.089776
0.074237,0.091745
0.07461,0.092749
0.07469,0.091997
0.074305,0.091311
0.074661,0.093658
0.074666,0.092739
0.074432,0.092986
0.074488,0.092998
0.074573,0.091838
0.074345,0.09331
0.07424,0.089718
0.073949,0.089961
0.074235,0.090938
0.074241,0.092174
0.074615,0.093021
0.074698,0.089887
0.074065,0.092195
0.074738,0.092652
0.074106,0.094081
0.074094,0.091237
0.074621,0.092001
0.07436,0.090579
0.074538,0.092769
0.074123,0.090822
0.074016,0.090927
0.074569,0.090754
0.074241,0.089341
0.074345,0.093627
0.074138,0.090413
0.074418,0.091469
0.074487,0.090658
0.074964,0.092285
0.07446,0.091105
0.074452,0.092709
0.073871,0.089702
0.074719,0.092742
0.074301,0.091799
0.074238,0.090402
0.07441,0.091266
0.074215,0.092522
0.074652,0.091296
0.074411,0.092138
0.075007,0.091999
0.074699,0.095358
0.074202,0.092564
0.07437,0.093041
0.074804,0.090317
0.074322,0.092843
0.074091,0.091633
0.074689,0.091942
0.074164,0.089562
0.074327,0.090845
0.074166,0.091666
0.074172,0.09034
0.074311,0.091864
0.074224,0.091477
0.074301,0.092137
0.07426,0.090806
0.07429,0.091665
0.074486,0.091854
0.074416,0.091923
0.07431,0.09174
0.074196,0.091289
0.073822,0.090689
0.074406,0.090875
0.075001,0.090839
0.074579,0.091583
0.074231,0.091106
0.07417,0.09206
0.074614,0.091479
0.074599,0.090223
0.0743,0.092515
0.074129,0.092554
0.073859,0.093639
0.074206,0.091325
0.074215,0.092827
0.074434,0.090196
0.07432,0.09189
0.074419,0.090036
0.074152,0.090869
0.074283,0.091791
0.074208,0.09178
0.07446,0.091688
0.074234,0.091665
0.0745,0.092034
0.074148,0.094484
0.074505,0.091192
0.074625,0.093306
0.074393,0.089787
0.074753,0.091449
0.074533,0.091563
0.074636,0.091412
0.074769,0.09331
0.074336,0.092591
0.074138,0.09167
0.07451,0.090422
0.07437,0.091712
0.074546,0.091845
0.074548,0.091877
0.074127,0.092519
0.074285,0.0927
0.074569,0.09181
0.074154,0.091835
0.074377,0.091904
0.074308,0.091007
0.074312,0.090998
0.07446,0.090271
0.074185,0.091291
0.074337,0.09113
0.074401,0.091165
0.074197,0.090922
0.074301,0.089228
0.074335,0.091788
0.074696,0.093115
0.074013,0.090848
0.074142,0.091822
0.074479,0.090563
0.074892,0.093568
0.074494,0.093412
0.07407,0.090239
0.074243,0.093191
0.074292,0.092398
0.074239,0.092022
0.074513,0.092254
0.074829,0.092646
0.07463,0.092536
0.074133,0.093207
0.074254,0.09227
0.074338,0.08925
0.074375,0.090957
0.07477,0.092922
0.074443,0.09197
0.07426,0.091894
0.07434,0.092164
0.074335,0.092615
0.074389,0.091042
0.07423,0.092627
0.074636,0.090169
0.074839,0.09142
0.074541,0.091253
0.074302,0.092425
0.074387,0.091508
0.07412,0.092391
0.074643,0.092186
0.074426,0.090831
0.074422,0.092213
0.074353,0.091693
0.074365,0.091929
0.074376,0.093081
0.074284,0.09386
0.074306,0.090379
0.074823,0.092164
0.074426,0.091897
0.074416,0.091652
0.074613,0.091249
0.074249,0.091985
0.074268,0.09215
0.074417,0.090177
0.073905,0.093388
0.074214,0.090847
0.074768,0.092228
0.074237,0.091268
0.074744,0.092216
0.074626,0.091729
0.07427,0.091374
0.074449,0.093137
0.074668,0.092084
0.074326,0.090266
0.074599,0.090112
0.074415,0.091356
0.074308,0.092875
0.07454,0.092688
0.074225,0.092081
0.07429,0.092261
0.074778,0.092451
0.07454,0.091405
0.073918,0.090468
0.074512,0.092591
0.074136,0.090088
0.074723,0.092643
0.07417,0.089071
0.074168,0.090494
0.074299,0.091529
0.074517,0.091565
0.074262,0.092643
0.074186,0.092553
0.074477,0.0923
0.074874,0.091966
0.074259,0.091948
0.074404,0.0914
0.074188,0.091615
0.074424,0.091538
0.074258,0.091944
0.07449,0.092284
0.074324,0.093114
0.074307,0.091736
0.074979,0.092623
0.07427,0.090242
0.074452,0.091479
0.074205,0.090466
0.074419,0.090529
0.074417,0.09126
0.073799,0.092123
0.074528,0.090303
0.07453,0.091823
0.074249,0.091312
0.074174,0.091543
0.074204,0.092313
0.074494,0.091553
0.074387,0.092365
0.074097,0.09201
0.073904,0.089682
0.074198,0.091409
0.07437,0.092647
0.074394,0.093041
0.074446,0.09282
0.074501,0.090528
0.074378,0.09195
0.074288,0.091375
0.074406,0.09151
0.07409,0.091227
0.074439,0.092439
0.074639,0.091021
0.074323,0.0919
0.074461,0.090998
0.074443,0.094057
0.074581,0.092695
0.074538,0.092726
0.074408,0.090462
0.073802,0.09266
0.074047,0.093978
0.074084,0.092426
0.074868,0.092891
0.074156,0.089645
0.074584,0.089543
0.074315,0.091672
0.074386,0.090856
0.074396,0.091469
0.07452,0.091785
0.074171,0.090816
0.074066,0.090246
0.074771,0.091366
0.074169,0.092996
0.074603,0.092383
0.074459,0.093006
0.074146,0.09179
0.074463,0.092091
0.074295,0.090535
0.074335,0.092207
0.074289,0.091038
0.074024,0.091452
0.074481,0.092768
0.074121,0.092234
0.07407,0.091552
0.074411,0.090244
0.074276,0.090926
0.074087,0.091112
0.074544,0.091352
0.074393,0.09306
0.07455,0.091323
0.07454,0.090953
0.074302,0.091944
0.074403,0.09206
0.074391,0.090322
0.074616,0.090663
0.074093,0.090865
0.074689,0.091652
0.074082,0.091353
0.074704,0.091813
0.074743,0.091736
0.074071,0.092111
0.074472,0.093327
0.074544,0.091369
0.074354,0.091846
0.074393,0.092716
0.074321,0.09277
0.074148,0.091581
0.074345,0.09132
0.074412,0.091102
0.073952,0.092022
0.074146,0.092084
0.074234,0.091849
0.074207,0.091664
0.074806,0.091061
0.074336,0.092428
0.074356,0.091368
0.074437,0.090516
0.074379,0.091382
0.074229,0.091321
0.074237,0.09095
0.07442,0.092186
0.074653,0.091742
0.074618,0.093427
0.074227,0.089497
0.074357,0.09132
0.074847,0.091271
0.07424,0.090614
0.074076,0.091095
0.074301,0.091625
0.074482,0.090836
0.074233,0.090656
0.074352,0.092025
0.074119,0.091717
0.074345,0.0909
0.07428,0.09328
0.074357,0.09131
0.074404,0.092877
0.074482,0.091006
0.074129,0.090969
0.074456,0.090216
0.074463,0.092487
0.074244,0.091274
0.074383,0.090401
0.074547,0.091219
0.074696,0.092233
0.074409,0.091532
0.07434,0.090947
0.074152,0.090062
0.073953,0.09145
0.07435,0.093213
0.073959,0.090209
0.07423,0.091116
0.074183,0.09066
0.074616,0.089998
0.074466,0.093403
0.074541,0.09417
0.074425,0.090746
0.074463,0.091394
0.074228,0.09204
0.074106,0.092435
0.074404,0.092267
0.074805,0.093059
0.074259,0.089893
0.074755,0.091496
0.074634,0.092182
0.074596,0.092937
0.074346,0.090916
0.074,0.091225
0.074524,0.092344
0.074287,0.091241
0.074797,0.093051
0.07387,0.091744
0.074381,0.091808
0.074322,0.092413
0.073807,0.090464
0.074477,0.093108
0.074445,0.091148
0.074301,0.092192
0.074669,0.091465
0.07453,0.09224
0.073998,0.092043
0.074222,0.090663
0.074232,0.091016
0.074458,0.091399
0.074541,0.092207
0.073953,0.092088
0.074416,0.092329
0.074016,0.092424
0.073935,0.090243
0.074393,0.090921
0.074257,0.091192
0.074417,0.092699
0.074454,0.092751
0.074165,0.092234
0.074603,0.09141
0.074205,0.093551
0.074233,0.089146
0.074799,0.091493
0.074374,0.091301
0.074299,0.091215
0.07435,0.091042
0.074571,0.092379
0.074691,0.091782
0.074174,0.091677
0.074377,0.091368
0.074297,0.092422
0.074313,0.09214
0.074451,0.092099
0.074541,0.091521
0.074291,0.093122
0.074252,0.091916
0.074389,0.090367
0.074524,0.092264
0.074393,0.091851
0.073898,0.092545
0.074449,0.091172
0.074583,0.091852
0.074636,0.090926
0.074295,0.092858
0.074254,0.091921
0.074542,0.093469
0.074371,0.090937
0.074276,0.092068
0.074433,0.093028
0.074436,0.091733
0.074516,0.091803
0.074487,0.090598
0.074291,0.092854
0.07438,0.092386
0.074578,0.092361
0.074138,0.089707
0.074763,0.091609
0.074415,0.091773
0.074262,0.093153
0.074444,0.090837
0.073902,0.090214
0.074455,0.092303
0.074605,0.091981
0.074241,0.090517
0.073953,0.091764
0.074073,0.091914
0.074398,0.092623
0.074459,0.091516
0.074451,0.091146
0.074531,0.090997
0.074782,0.093807
0.074676,0.090488
0.074206,0.090376
0.074451,0.091315
0.074042,0.09062
0.074078,0.09095
0.074428,0.092098
0.074261,0.090287
0.074269,0.092845
0.074683,0.092713
0.074181,0.092434
0.074313,0.092225
0.0743,0.091765
0.073921,0.092391
0.073918,0.091197
0.074243,0.092503
0.074209,0.090575
0.074356,0.092635
0.074197,0.090487
0.074319,0.091099
0.074434,0.09123
0.074382,0.091282
0.074412,0.091633
0.074562,0.09175
0.074126,0.090787
0.074754,0.091312
0.074392,0.092526
0.074162,0.090588
0.074583,0.090838
0.074404,0.091057
0.074812,0.092667
0.074215,0.092498
0.074378,0.091344
0.074214,0.09106
0.074483,0.092229
0.074436,0.092466
0.074395,0.091283
0.074331,0.092315
0.074647,0.094112
0.07445,0.092746
0.074048,0.09187
0.074403,0.091301
0.074315,0.091082
0.074277,0.093489
0.07406,0.092082
0.074177,0.091696
0.074609,0.09197
0.074625,0.09353
0.074704,0.091913
0.074296,0.093952
0.074545,0.090413
0.074541,0.09206
0.074494,0.091247
0.074317,0.092053
0.074202,0.092551
0.074317,0.092374
0.074392,0.092199
0.07423,0.091163
0.074338,0.09134
0.07457,0.0921
0.074629,0.091207
0.074646,0.09328
0.074059,0.09096
0.074129,0.09135
0.074217,0.090906
0.074429,0.092066
0.07451,0.091567
0.074332,0.093048
0.074575,0.092203
0.074619,0.09129
0.074016,0.091937
0.074566,0.091483
0.074542,0.092216
0.07412,0.090077
0.074154,0.091724
0.074395,0.090247
0.074368,0.091414
0.074543,0.092083
0.07404,0.092195
0.074553,0.091926
0.074514,0.091555
0.074208,0.090248
0.074198,0.091666
0.074206,0.091012
0.074373,0.090814
0.074468,0.091768
0.074549,0.09113
0.074134,0.092432
0.074237,0.0903
0.074482,0.092229
0.074395,0.091001
0.074385,0.091252
0.074508,0.090141
0.074645,0.090738
0.073955,0.091187
0.074527,0.091249
0.074332,0.090937
0.07448,0.09442
0.074563,0.091608
0.074696,0.094233
0.074691,0.09052
0.074239,0.091413
0.074343,0.091425
0.074045,0.092211
0.074201,0.092717
0.074189,0.091811
0.074052,0.091208
0.074413,0.08972
0.074321,0.091412
0.074152,0.091368
0.074478,0.090083
0.07462,0.091786
0.074721,0.092676
0.074311,0.092369
0.074284,0.090783
0.074555,0.091104
0.074289,0.091014
0.074487,0.09163
0.074439,0.09063
0.074352,0.092887
0.074034,0.091538
0.074614,0.09256
0.074483,0.09228
0.074474,0.091718
0.074905,0.092627
0.074507,0.092227
0.074326,0.091016
0.074417,0.091705
0.074315,0.092024
0.074366,0.090276
0.074148,0.092179
0.074496,0.090796
0.074825,0.092488
0.074245,0.091328
0.074692,0.091677
0.07424,0.090908
0.074484,0.092289
0.074479,0.092436
0.074325,0.09079
0.074352,0.09122
0.074167,0.091453
0.074037,0.090583
0.074438,0.0914
