Training,Testing
0.063901,0.079869
0.063732,0.080415
0.063688,0.080145
0.063629,0.079593
0.063572,0.080174
0.063658,0.079849
0.063993,0.080795
0.063841,0.081053
0.063733,0.08061
0.063507,0.07934
0.063614,0.079808
0.063377,0.080273
0.063953,0.080708
0.063813,0.079338
0.063612,0.079107
0.063866,0.080279
0.063694,0.080502
0.06353,0.080539
0.063774,0.080413
0.063411,0.080468
0.063806,0.079431
0.063623,0.079248
0.06364,0.08018
0.063992,0.080472
0.064222,0.080749
0.063531,0.079426
0.063764,0.079673
0.06377,0.079999
0.06396,0.079575
0.063806,0.079906
0.063612,0.080006
0.06343,0.079788
0.063434,0.078961
0.063561,0.080416
0.063557,0.080031
0.063712,0.079892
0.063475,0.079673
0.063968,0.080673
0.063839,0.079764
0.063388,0.080623
0.063527,0.079771
0.063796,0.080592
0.063702,0.079959
0.063832,0.080849
0.063369,0.080288
0.063598,0.079422
0.063698,0.079586
0.06381,0.079798
0.063876,0.080437
0.063958,0.080191
0.063924,0.080638
0.063389,0.07992
0.063303,0.080059
0.063588,0.080798
0.063746,0.07915
0.063502,0.079168
0.063779,0.080339
0.063536,0.079226
0.063565,0.079789
0.063785,0.079337
0.063611,0.080001
0.063571,0.079627
0.063785,0.079992
0.063672,0.079718
0.063688,0.079291
0.063978,0.080317
0.063441,0.079322
0.063625,0.079959
0.063839,0.079719
0.063776,0.079744
0.063468,0.078753
0.063569,0.079473
0.063837,0.08011
0.063398,0.079217
0.063948,0.080365
0.063524,0.080476
0.064043,0.080491
0.063889,0.081541
0.063774,0.07959
0.063385,0.079588
0.063545,0.079889
0.063954,0.081044
0.063503,0.079468
0.063641,0.079958
0.063516,0.080346
0.063861,0.081191
0.063707,0.080068
0.063928,0.079512
0.063591,0.079769
0.063372,0.080264
0.063581,0.08074
0.063849,0.080032
0.063974,0.080773
0.063543,0.08155
0.063601,0.07987
0.06352,0.080095
0.06359,0.079439
0.063776,0.080039
0.063687,0.080185
0.063596,0.080107
0.063856,0.080106
0.063653,0.080027
0.063703,0.080697
0.063465,0.079945
0.063846,0.079309
0.063654,0.0806
0.063573,0.080628
0.06333,0.080799
0.063954,0.080281
0.063626,0.079885
0.063458,0.080135
0.063785,0.079373
0.063543,0.08117
0.063879,0.080261
0.063756,0.079947
0.06373,0.080056
0.063495,0.079415
0.063394,0.079746
0.063651,0.078466
0.063404,0.079724
0.063628,0.080022
0.063592,0.081164
0.063796,0.07967
0.063575,0.079981
0.063784,0.079874
0.063843,0.080392
0.063687,0.079247
0.06365,0.079282
0.063437,0.079401
0.063869,0.079903
0.06362,0.080952
0.063685,0.079568
0.063702,0.081098
0.063757,0.080732
0.063442,0.07843
0.064088,0.081103
0.063903,0.080226
0.063495,0.079273
0.063832,0.079643
0.063809,0.081578
0.063729,0.080027
0.063873,0.079553
0.063803,0.07958
0.063741,0.081064
0.06393,0.079122
0.063489,0.079335
0.063653,0.079681
0.063663,0.079188
0.06327,0.08032
0.063684,0.079776
0.063911,0.079835
0.063217,0.080523
0.063555,0.079581
0.063892,0.080215
0.063588,0.081174
0.063759,0.078797
0.063187,0.079138
0.06352,0.079101
0.063758,0.079543
0.063649,0.080915
0.063305,0.07889
0.06355,0.080886
0.063758,0.079962
0.063773,0.080425
0.063351,0.079367
0.063702,0.07988
0.063963,0.080202
0.063508,0.079107
0.063656,0.0803
0.063633,0.078642
0.063685,0.080608
0.063676,0.079955
0.063832,0.080326
0.063679,0.079798
0.063961,0.079224
0.063552,0.080164
0.06392,0.080051
0.063596,0.080668
0.063613,0.080038
0.063794,0.079959
0.063782,0.078824
0.063654,0.080113
0.063692,0.080105
0.06396,0.079412
0.06376,0.079058
0.063483,0.080511
0.063538,0.079895
0.063799,0.079457
0.06364,0.079797
0.06345,0.080134
0.063789,0.079426
0.063791,0.079721
0.063816,0.079473
0.063396,0.079148
0.063654,0.080326
0.063617,0.079901
0.063828,0.079282
0.063553,0.080677
0.063563,0.080974
0.063696,0.079776
0.063511,0.080403
0.064,0.07935
0.063779,0.080442
0.063615,0.080632
0.063656,0.078844
0.063303,0.080663
0.063923,0.079261
0.063708,0.080107
0.063754,0.079509
0.063368,0.079881
0.063874,0.079722
0.063752,0.079332
0.063819,0.079671
0.063755,0.080777
0.063622,0.078855
0.063586,0.079781
0.063769,0.079546
0.063475,0.080298
0.063677,0.079347
0.063858,0.079698
0.063736,0.080695
0.06364,0.079731
0.06362,0.079643
0.063359,0.080381
0.063622,0.079104
0.063606,0.078727
0.063791,0.079532
0.063989,0.079752
0.06387,0.080252
0.0642,0.080065
0.063921,0.080818
0.063675,0.080167
0.063782,0.080782
0.063495,0.080661
0.063595,0.08045
0.063808,0.081227
0.063374,0.079274
0.063969,0.08111
0.063693,0.079628
0.063884,0.08055
0.063707,0.079759
0.063723,0.080035
0.063583,0.080673
0.063576,0.080463
0.063746,0.080393
0.063774,0.079363
0.063719,0.079392
0.063594,0.079612
0.063865,0.079944
0.063918,0.079523
0.063906,0.080282
0.063743,0.080341
0.063824,0.080004
0.063906,0.080486
0.063619,0.079184
0.063684,0.080001
0.064019,0.079645
0.06384,0.079599
0.063623,0.081331
0.063885,0.080408
0.06341,0.079909
0.063692,0.080403
0.063603,0.079689
0.063198,0.079426
0.063722,0.079822
0.063694,0.080175
0.063662,0.080822
0.063424,0.079072
0.064248,0.080376
0.063559,0.079684
0.063712,0.081214
0.063921,0.080666
0.063346,0.080317
0.063564,0.080794
0.063649,0.080468
0.063409,0.079646
0.063601,0.080365
0.064072,0.080839
0.064023,0.080747
0.063785,0.080106
0.063663,0.079383
0.06382,0.080775
0.063463,0.079416
0.063644,0.08009
0.063885,0.079586
0.06377,0.079848
0.063505,0.079731
0.063907,0.079777
0.063652,0.08037
0.063633,0.080122
0.063492,0.081409
0.063729,0.080007
0.063476,0.081231
0.063356,0.080174
0.063596,0.07959
0.063775,0.079633
0.063759,0.080464
0.06358,0.08051
0.063516,0.080242
0.0638,0.080109
0.063432,0.080333
0.063465,0.080468
0.063548,0.080537
0.06385,0.079936
0.063479,0.078926
0.063701,0.080754
0.06372,0.07953
0.063495,0.079502
0.064098,0.079858
0.063556,0.079708
0.063644,0.081105
0.063671,0.079902
0.063736,0.080497
0.063802,0.079743
0.063236,0.079826
0.063774,0.079266
0.063846,0.079373
0.0638,0.078936
0.063465,0.079739
0.06374,0.078831
0.063952,0.079985
0.063492,0.080376
0.063914,0.080723
0.063899,0.07932
