Training,Testing
0.072735,0.092377
0.072822,0.090679
0.072781,0.091631
0.072933,0.090385
0.072927,0.090837
0.07263,0.090763
0.072996,0.090435
0.072748,0.091762
0.072313,0.090511
0.07241,0.091198
0.072892,0.092056
0.072888,0.090533
0.072873,0.091649
0.07258,0.091757
0.072634,0.092022
0.072724,0.090402
0.072946,0.091934
0.072674,0.09166
0.072694,0.091749
0.072718,0.091103
0.072867,0.091663
0.072499,0.092261
0.072757,0.090964
0.072574,0.090734
0.072589,0.092166
0.072741,0.090055
0.072787,0.091971
0.072598,0.090509
0.072638,0.090409
0.072947,0.090319
0.072679,0.091178
0.072498,0.090698
0.072474,0.091269
0.072748,0.090341
0.072646,0.090416
0.072647,0.090643
0.072553,0.090849
0.072698,0.092468
0.073131,0.092388
0.072447,0.091482
0.072314,0.090904
0.072819,0.090389
0.072812,0.090937
0.072996,0.090891
0.072603,0.089797
0.072883,0.091131
0.072768,0.091551
0.072788,0.090585
0.072605,0.092154
0.072724,0.09163
0.072684,0.089721
0.072448,0.090912
0.072738,0.091116
0.07259,0.091084
0.072805,0.091393
0.072424,0.091108
0.072644,0.090505
0.072527,0.091231
0.072732,0.090581
0.072721,0.091892
0.072741,0.091266
0.072402,0.091053
0.072676,0.089943
0.072562,0.090112
0.072572,0.091212
0.072533,0.090703
0.07269,0.089976
0.072702,0.089821
0.072705,0.090778
0.072685,0.090215
0.072711,0.091106
0.072931,0.09169
0.072579,0.09098
0.0726,0.090836
0.072434,0.091446
0.072714,0.089457
0.072968,0.092148
0.072875,0.091125
0.072881,0.090282
0.072634,0.090531
0.072555,0.091158
0.072943,0.091328
0.072717,0.092848
0.072491,0.091204
0.072692,0.0902
0.072652,0.091406
0.072908,0.090444
0.072973,0.090657
0.072533,0.090363
0.07288,0.090747
0.073149,0.092209
0.072391,0.090677
0.072546,0.09067
0.072754,0.090353
0.072433,0.091028
0.072568,0.090785
0.072289,0.091585
0.072999,0.091767
0.072599,0.09094
0.072854,0.09099
0.072674,0.09124
0.072604,0.090055
0.072836,0.091202
0.072775,0.090757
0.072492,0.090404
0.073065,0.093028
0.072444,0.090487
0.072626,0.090562
0.072998,0.091047
0.072864,0.090574
0.073112,0.089941
0.072635,0.091298
0.072774,0.091088
0.072737,0.091353
0.072754,0.090769
0.072485,0.090285
0.072859,0.090671
0.072495,0.092879
0.072792,0.090151
0.072682,0.090322
0.072701,0.090839
0.072563,0.091968
0.072423,0.090512
0.072793,0.090797
0.072673,0.089886
0.072565,0.090859
0.072784,0.091015
0.072652,0.091901
0.072821,0.090362
0.072672,0.090376
0.072735,0.090098
0.072829,0.090536
0.072592,0.090417
0.072524,0.089869
0.072505,0.091717
0.072582,0.089984
0.072594,0.091072
0.072562,0.090485
0.072727,0.091219
0.072899,0.090685
0.072622,0.091501
0.072658,0.090139
0.072955,0.091524
0.072754,0.090609
0.072336,0.091649
0.072565,0.089902
0.072843,0.091527
0.072875,0.091337
0.072637,0.08976
0.072686,0.089973
0.072496,0.089123
0.072948,0.090813
0.072877,0.090375
0.072762,0.092051
0.072892,0.092208
0.07279,0.090717
0.072766,0.090902
0.072707,0.091245
0.072785,0.090139
0.072858,0.091498
0.07254,0.090357
0.072817,0.090536
0.0726,0.091391
0.072531,0.089683
0.072683,0.091606
0.072616,0.093722
0.07292,0.090819
0.072839,0.090458
0.07273,0.090644
0.072398,0.09054
0.07277,0.090676
0.072638,0.090102
0.072782,0.090617
0.072752,0.091201
0.072707,0.091032
0.072848,0.091001
0.072508,0.091148
0.072917,0.091999
0.072919,0.091144
0.072531,0.091132
0.072803,0.091079
0.072911,0.090744
0.072512,0.091295
0.07268,0.090924
0.072238,0.091227
0.072574,0.092266
0.07255,0.091386
0.072617,0.09074
0.072543,0.090508
0.072662,0.090927
0.072567,0.091241
0.07259,0.091439
0.072661,0.089593
0.073098,0.091971
0.072307,0.089634
0.072515,0.090584
0.072705,0.091114
0.072774,0.090188
0.072722,0.091156
0.0727,0.09124
0.072758,0.091048
0.072717,0.091329
0.072817,0.091754
0.072733,0.091225
0.07274,0.090654
0.072541,0.091845
0.072893,0.092004
0.072205,0.090591
0.072692,0.090966
0.072676,0.092455
0.072573,0.090867
0.072654,0.092325
0.0728,0.091099
0.072671,0.091641
0.072775,0.090142
0.072732,0.091157
0.072537,0.091987
0.072781,0.090229
0.072762,0.09088
0.072859,0.090689
0.072535,0.090484
0.072476,0.090873
0.07284,0.091773
0.072677,0.090693
0.072709,0.092269
0.072563,0.091209
0.072687,0.090276
0.072688,0.090486
0.072924,0.093136
0.072524,0.09084
0.072825,0.091496
0.072805,0.090511
0.072537,0.091234
0.072815,0.0919
0.072731,0.091004
0.072787,0.09028
0.072386,0.092842
0.072481,0.090871
0.072637,0.091045
0.072708,0.091424
0.072648,0.091209
0.072678,0.090512
0.072586,0.090351
0.072893,0.091151
0.072775,0.09186
0.072659,0.090205
0.07232,0.090831
0.072915,0.092016
0.072583,0.091327
0.072672,0.091768
0.072736,0.090499
0.072588,0.091455
0.07276,0.091717
0.072657,0.090731
0.072843,0.089999
0.072681,0.090262
0.072527,0.089957
0.072707,0.091177
0.072794,0.090453
0.072551,0.091079
0.072701,0.091265
0.07253,0.089977
0.0727,0.090888
0.072669,0.09027
0.072556,0.090356
0.072836,0.091617
0.07274,0.092176
0.072529,0.091483
0.072778,0.092083
0.072629,0.089798
0.072438,0.090526
0.07276,0.09102
0.072564,0.090461
0.072833,0.091645
0.07242,0.090711
0.072638,0.090206
0.072747,0.091717
0.072622,0.090363
0.07269,0.091355
0.072414,0.089605
0.072722,0.091552
0.072578,0.090175
0.072818,0.091314
0.072739,0.090847
0.072971,0.091569
0.072591,0.091055
0.072713,0.09129
0.072815,0.091859
0.072613,0.092162
0.072525,0.089843
0.072587,0.090141
0.072751,0.093036
0.07263,0.091125
0.072614,0.090656
0.072735,0.090135
0.072861,0.092026
0.072674,0.091464
0.072559,0.091369
0.072912,0.090857
0.072811,0.09088
0.07295,0.090409
0.072735,0.091264
0.072696,0.090068
0.072979,0.090104
0.072901,0.091669
0.07282,0.090596
0.072962,0.091296
0.072613,0.090083
0.072936,0.091204
0.072984,0.091987
0.072782,0.092007
0.072664,0.091169
0.072553,0.090889
0.072435,0.090762
0.072587,0.09125
0.072738,0.09229
0.072918,0.090797
0.072494,0.091998
0.072953,0.090518
0.072961,0.091798
0.072534,0.090023
0.072641,0.089681
0.072871,0.091257
0.072604,0.090251
0.072752,0.091128
0.072566,0.090574
0.072505,0.091446
0.072746,0.090399
0.072813,0.090161
0.072741,0.090311
0.072548,0.090927
0.072624,0.090581
0.072881,0.090813
0.073109,0.090123
0.072736,0.091177
0.072975,0.092404
0.072964,0.091334
0.072732,0.091337
0.072729,0.091871
0.072711,0.092046
0.072845,0.09162
0.072885,0.091446
0.0729,0.090336
0.072644,0.090113
0.072832,0.090606
0.072682,0.090883
0.072724,0.092303
0.072559,0.090746
0.072548,0.092004
0.072987,0.090473
0.07282,0.091256
0.072743,0.091095
0.073065,0.091415
0.072501,0.090429
0.072578,0.090541
0.072803,0.090765
0.0726,0.088843
0.072847,0.09127
0.072867,0.090961
0.072861,0.092303
0.072748,0.091718
0.072812,0.091021
0.073003,0.091824
0.072492,0.090083
0.072606,0.090719
0.072315,0.091694
0.072772,0.091158
0.072874,0.091264
0.072452,0.089979
0.072756,0.092134
0.072861,0.092675
0.072491,0.090898
0.072918,0.09131
