Training,Testing
0.078778,0.097299
0.078257,0.095759
0.078477,0.097345
0.079082,0.097717
0.078702,0.097429
0.078975,0.097497
0.079598,0.098844
0.078706,0.097426
0.078471,0.09689
0.0787,0.097487
0.07869,0.097233
0.078339,0.097994
0.079169,0.09779
0.078968,0.098784
0.078163,0.096849
0.078914,0.098601
0.078429,0.098237
0.078341,0.097812
0.078406,0.096914
0.078379,0.097523
0.078747,0.098419
0.079151,0.098889
0.079027,0.097989
0.079968,0.098953
0.078515,0.097301
0.07837,0.096375
0.079319,0.098711
0.078589,0.096993
0.079437,0.099452
0.078687,0.099306
0.078856,0.098845
0.078761,0.097588
0.078737,0.097914
0.079078,0.099049
0.078702,0.097364
0.078595,0.098579
0.078685,0.096454
0.078979,0.098303
0.078747,0.097364
0.079213,0.098153
0.078442,0.097656
0.078936,0.096942
0.078635,0.097157
0.078513,0.097721
0.078378,0.09742
0.078421,0.097228
0.078939,0.097615
0.078338,0.097094
0.079235,0.099168
0.078646,0.097926
0.079526,0.09749
0.078653,0.097126
0.078832,0.099905
0.079253,0.099936
0.078484,0.098278
0.079108,0.098922
0.078619,0.098351
0.078576,0.097853
0.079153,0.099193
0.079032,0.098542
0.078492,0.097643
0.077859,0.096517
0.078324,0.096892
0.078391,0.097296
0.078622,0.096786
0.07909,0.09916
0.078349,0.097295
0.078321,0.096133
0.078765,0.097462
0.079515,0.097456
0.078474,0.098713
0.078279,0.096718
0.078692,0.097876
0.078883,0.098509
0.078991,0.098808
0.078579,0.098386
0.078961,0.09836
0.079006,0.097344
0.078685,0.09772
0.078915,0.098439
0.078814,0.097433
0.07856,0.097647
0.078604,0.097169
0.078395,0.096481
0.079356,0.097794
0.078576,0.097874
0.078793,0.097647
0.078777,0.097469
0.079262,0.097835
0.078484,0.097274
0.077886,0.096702
0.078694,0.098521
0.078925,0.098741
0.078836,0.097353
0.078153,0.097931
0.079127,0.098742
0.079212,0.098835
0.078665,0.098449
0.078553,0.097048
0.078805,0.098806
0.078817,0.097293
0.079273,0.097809
0.078717,0.098154
