ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,2014/01/01,2014/04/23 22:03:42,41055.630,37811.668,35281.146,33891.544,32769.946,32028.194,31789.083,31486.438,31505.351,28620.327,30339.129,32310.878,32757.587,35767.241,37838.472,38895.271,39354.883,40768.852,46030.338,47894.966,49781.612,51095.629,53092.748,56310.972,58310.770,56178.897,54509.592,53392.828,53350.652,53475.490,53466.926,55199.796,57786.940,61640.568,64689.206,66900.988,65215.402,63580.014,64063.082,63657.270,60099.559,56874.049,53904.537,50549.166,56130.954,53533.341,47787.487,40590.054,39,Y,4079
NSLP,ACTEWAGL,2014/01/02,2014/04/23 22:03:42,37528.729,34514.006,32694.646,31790.310,31476.614,30856.854,30715.651,31010.022,31453.358,30301.814,32967.027,38126.104,42108.311,45785.630,46880.160,48478.156,49248.938,49776.366,53537.402,55398.100,61015.465,60909.862,59253.955,59117.337,59000.466,57030.886,56143.833,55103.560,55068.281,55224.062,56353.652,57966.567,60559.874,64014.439,66514.864,68370.807,67091.315,66292.836,66062.392,67074.440,63970.870,60862.576,57525.156,54042.429,59121.144,56146.803,49852.192,41967.192,40,Y,4079
NSLP,ACTEWAGL,2014/01/03,2014/04/23 22:03:42,37818.348,35193.668,33649.312,32828.605,32234.957,31822.094,31974.656,32028.198,32079.162,32497.414,34424.973,39334.344,44268.433,47772.548,50758.057,51673.224,54557.763,54630.786,56610.653,55772.970,60521.052,59739.627,55033.201,51917.185,54198.931,54758.529,57614.521,62655.053,68345.773,74586.696,79413.218,83521.407,87050.417,90017.647,93121.129,94158.575,92030.856,88168.252,84610.571,83065.206,80326.990,76019.121,70607.826,65685.869,68660.821,64360.251,56179.745,47602.534,41,Y,4079
NSLP,ACTEWAGL,2014/01/04,2014/04/23 22:03:42,42355.176,39076.318,36896.240,35524.374,34586.398,33914.299,33431.402,33190.651,33492.102,30885.757,32970.529,36659.665,38776.253,40984.402,43343.151,45966.102,47922.877,48647.035,49846.414,49455.911,54126.247,53550.736,50836.818,49699.905,49958.310,48344.899,47725.372,47752.207,48578.266,50430.572,52309.221,55188.747,58802.329,63035.795,66615.441,68993.828,68464.979,65697.967,64595.637,65168.680,64366.831,61473.930,59025.904,55269.741,60647.585,58697.418,51771.128,43950.614,42,Y,4079
NSLP,ACTEWAGL,2014/01/05,2014/05/06 20:01:21,39225.572,35822.042,34138.158,32956.992,32371.643,31652.507,31291.330,31280.634,31353.170,29362.760,30446.932,34343.071,35832.140,37743.391,40211.996,42628.157,44797.471,45618.563,48237.202,48240.206,52421.344,52256.854,50437.283,49388.295,49690.905,48220.810,48025.147,48623.265,50155.244,52443.384,54486.774,57741.866,62739.317,68709.673,72793.751,74990.419,73922.048,71937.346,70654.202,71361.233,69800.948,65610.545,62292.562,57029.505,61101.029,57885.214,51306.207,42998.955,36,Y,4099
NSLP,ACTEWAGL,2014/01/06,2014/05/06 20:01:21,37985.087,35685.760,34233.515,32903.754,32395.865,31862.574,31881.097,32043.029,32615.891,32314.155,36785.265,45165.175,51359.600,53280.853,52700.650,50911.944,49623.102,47923.498,48220.648,47627.351,51919.344,50792.663,48043.694,47064.590,47509.804,46005.757,45272.164,45251.744,46320.674,48429.306,49870.871,53135.249,57965.271,63786.443,68321.062,70829.941,70540.208,68730.737,68229.766,69022.650,67411.623,63801.012,59079.962,53787.444,58740.090,56450.528,49872.518,41294.504,37,Y,4099
NSLP,ACTEWAGL,2014/01/07,2014/05/06 20:01:21,36728.346,34411.085,32921.267,32027.151,31794.979,31004.080,31056.157,31015.367,32401.186,33043.433,37025.796,46224.840,52454.539,55078.110,53868.374,52027.363,49954.084,47651.796,47579.697,46979.826,51073.810,50303.191,47765.656,46943.872,47173.632,45309.245,44924.306,45533.932,47549.180,49979.049,52530.442,56273.868,62146.346,65363.176,68956.856,70668.073,69720.599,69000.347,68856.875,70877.314,66827.085,63399.987,58800.117,53968.625,58445.291,56108.988,50194.100,41379.956,38,Y,4099
NSLP,ACTEWAGL,2014/01/08,2014/05/06 20:01:21,36471.090,33969.879,32450.110,31360.509,30974.289,30434.356,30778.838,30751.021,32019.119,33212.094,36761.203,46144.413,52626.676,55390.592,54761.372,52780.850,52442.288,51998.711,53019.243,52218.191,56003.172,54233.819,50435.273,46952.488,46455.813,44677.265,43909.799,44482.441,45009.519,47680.110,51569.465,55545.355,58090.266,63317.703,67146.997,68897.115,69216.621,68603.370,68534.418,70074.732,67650.494,63810.380,59170.216,53758.029,58227.317,56215.138,49642.304,41355.205,39,Y,4099
NSLP,ACTEWAGL,2014/01/09,2014/05/06 20:01:21,36394.619,33699.268,32382.298,31442.097,30820.561,30768.716,30474.873,30951.088,31758.512,32538.208,36206.209,45469.452,52181.748,56453.153,57970.033,56589.980,55908.194,56066.584,56507.997,56492.943,60244.294,56670.705,55032.110,53075.081,51941.474,48961.626,46396.287,47415.385,49415.687,50998.927,51437.845,53476.587,58938.739,65283.954,68561.300,69697.278,68803.578,68941.207,69761.525,70738.630,68181.960,64956.071,60107.371,55198.705,59377.037,56834.801,50152.876,41689.893,40,Y,4099
NSLP,ACTEWAGL,2014/01/10,2014/05/06 20:01:21,36999.953,34636.026,32816.063,32084.622,31135.157,30951.404,30744.736,31219.237,32328.554,33404.903,36341.874,45778.354,51967.406,55667.595,55168.456,54013.043,52893.079,51151.180,51261.498,50945.231,55739.342,56000.120,54043.194,53335.681,56781.361,58581.262,59108.433,56645.774,57212.749,60193.014,64150.792,67479.743,71131.857,74656.492,78093.469,79776.277,79810.034,77362.323,75194.308,75803.908,73450.961,69970.824,65387.202,61317.889,65590.180,62629.040,55134.462,46549.053,41,Y,4099
