ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,Locked
NSLP,ACTEWAGL,11/01/2009,15/05/2009 22:04,44479.773,40717.35,38647.864,37437.477,36729.724,36173.791,36043.306,35881.462,35674.502,34604.542,34350.747,39213.323,41559.552,45136.26,49724.733,54617.788,59658.086,63229.593,68897.007,69601.622,74222.541,76339.518,74932.642,74202.099,75363.616,73420.14,73283.485,74367.971,74778.849,75196.645,74600.801,74376.836,76671.858,79653.025,81213.336,80760.521,78678.128,76654.409,75725.477,76921.648,75921.871,71881.153,68463.327,63480.952,66598.619,66086.914,58455.411,48566.381,Y
NSLP,ACTEWAGL,12/01/2009,15/05/2009 22:04,42286.124,39367.208,37437.245,36403.095,35984.904,35864.195,35885.938,35916.379,37088.82,38102.436,42702.21,54856.429,63350.053,68282.254,69243.157,70291.415,71311.733,72286.924,76075.021,77869.53,82825.955,85312.632,84445.656,85349.628,86819.027,86018.932,85808.449,86687.541,88706.862,90247.457,92257.092,93735.929,94829.201,95838.944,95450.42,93098.788,88045.72,82560.487,79674.102,80949.852,78312.509,73222.384,68215.937,63114.923,66015.839,65037.937,57686.359,47520.689,Y
NSLP,ACTEWAGL,13/01/2009,15/05/2009 22:04,42017.078,38848.784,37491.909,36850.523,36178.354,35782.238,36111.272,36153.224,37424.835,39672.713,43744.942,55131.135,63878.406,68488.531,69950.092,70241.377,71433.488,72473.079,76306.996,78139.965,83920.379,87058.516,86828.721,88773.35,92243.127,93140.746,94901.556,98518.218,101224.242,105048.421,108005.299,111536.268,115375.2,118929.776,120679.647,121878.449,117841.023,113104.773,108076.779,105332.108,102466.548,95714.446,87695.639,78395.543,77972.001,74223.815,64652.415,53786.35,Y
NSLP,ACTEWAGL,14/01/2009,15/05/2009 22:04,47749.705,44342.957,42567.292,41399.415,40334.614,39884.35,39431.65,39712.502,40460.374,41626.052,45838.832,57214.313,65951.619,71651.202,75078.797,77651.117,81181.184,84456.052,89858.51,93134.743,100369.327,104893.917,106493.121,108932.738,113347.297,114651.023,117601.091,120004.678,121938.773,125446.219,128223.124,131794.906,134522.874,138481.957,139706.286,141016.889,138215.107,133942.744,127784.641,125507.681,120821.617,112863.12,102420.634,90843.534,89590.293,83558.559,73663.676,62125.898,Y
NSLP,ACTEWAGL,15/01/2009,15/05/2009 22:04,55478.572,51519.677,48894.838,48065.798,46601.111,46046.428,45176.743,44986.176,45927.354,46391.048,49793.842,61482.48,70411.19,77662.112,82335.053,86874.189,91042.43,95268.144,101780.586,106125.704,113354.563,117112.178,118756.33,120403.324,124855.97,125360.243,126666.605,128678.417,130229.403,132089.687,132956.803,135833.342,137396.545,138164.776,136708.103,134935.303,130356.648,124269.491,116850.768,109551.698,100790.777,92921.002,83709.899,74688.532,75213.623,72516.835,62797.543,52534.785,Y
NSLP,ACTEWAGL,16/01/2009,15/05/2009 22:04,46412.546,43130.3,41636.115,40920.027,39967.035,39581.869,39569.924,39102.256,40693.216,42250.218,44997.284,56304.707,64507.645,69635.674,72400.403,73846.955,75110.933,76475.751,79741.525,81135.308,85960.231,88684.713,86833.077,86270.983,87779.002,86568.311,86528.846,87378.137,88576.043,90051.172,91559.318,92511.802,92644.126,93073.764,91056.963,88527.916,84341.82,80472.606,77943.857,78565.737,75901.291,71254.479,68236.187,63769.852,67644.153,67034.474,59666.631,49781.327,Y
NSLP,ACTEWAGL,17/01/2009,15/05/2009 22:04,44139.591,41110.868,39229.343,38245.138,37522.943,37007.854,36837.92,36940.817,37333.099,36982.874,36299.409,42970.165,46471.141,50576.066,55595.788,60618.77,65610.361,67707.685,71406.169,72101.029,75445.245,76442.991,73562.196,71386.212,71650.171,68954.111,66801.176,65951.564,65505.914,65611.906,66239.673,67497.648,69158.475,71667.717,73309.735,73693.127,71716.703,69323.375,68370.083,69868.587,68809.939,66024.979,63575.02,60639.685,66154.083,66434.856,59898.585,50154.59,Y
NSLP,ACTEWAGL,18/01/2009,22/05/2009 22:01,43770.781,40642.441,38223.697,37256.924,36409.026,35551.929,35396.366,35429.755,35918.682,35323.606,33434.088,39294.24,41692.335,45394.392,49990.437,54692.591,59177.675,62482.618,67970.904,68750.497,72776.362,74719.491,72749.984,71776.505,72385.494,70129.752,69298.084,69758.372,70363.739,72243.388,73621.197,75857.771,80260.453,84487.122,87940.716,88315.75,86498.33,83587.561,81692.988,83087.87,81562.835,76118.21,70920.241,64617.08,67507.603,66228.843,58657.222,48626.764,Y
NSLP,ACTEWAGL,19/01/2009,22/05/2009 22:01,42991.616,39887.523,38070.707,37017.154,36622.301,36156.982,36480.479,36551.951,37989.738,39447.117,42352.254,55877.715,63541.151,68106.193,68845.427,69672.332,70852.336,71551.696,75300.102,77433.188,82468.055,84797.981,84322.59,85224.354,87416.435,88046.037,89939.429,92108.717,95095.474,98197.732,101362.119,105238.802,108572.389,112157.451,114813.624,115221.383,110942.611,105684.384,99862.116,98808.176,95399.709,88117.468,80308.65,71156.439,72823.516,69907.678,61288.281,50703.518,Y
NSLP,ACTEWAGL,20/01/2009,22/05/2009 22:01,44844.758,42009.328,40284.862,39371.271,38425.408,38107.167,38042.324,38134.224,39217.91,40763.454,43846.422,56570.189,65037.24,69810.959,71256.253,73600.587,75973.077,78668.115,84010.363,87252.275,94349.941,99347.352,100695.947,103372.329,107563.109,108271.169,107372.168,104017.446,99595.8,99476.452,101062.001,103031.82,105359.571,106530.93,106992.723,105675.624,98579.8,94403.835,91231.129,86209.101,80970.703,76585.721,71095.32,64848.026,68414.485,66960.272,58966.823,48860.243,Y
